Date,Recession,GDP,Unemployment,HousingStarts,CPI,DowJones,NASDAQ,SP500,VehicleSales,RealHPI,NominalHPI
1/1/1913,1,,,,9.8,,,,,95.4085608,4.369729566
2/1/1913,1,,,,9.8,,,,,,
3/1/1913,1,,,,9.8,,,,,,
4/1/1913,1,,,,9.8,,,,,,
5/1/1913,1,,,,9.7,,,,,,
6/1/1913,1,,,,9.8,,,,,,
7/1/1913,1,,,,9.9,,,,,,
8/1/1913,1,,,,9.9,,,,,,
9/1/1913,1,,,,10,,,,,,
10/1/1913,1,,,,10,,,,,,
11/1/1913,1,,,,10.1,,,,,,
12/1/1913,1,,,,10,,,,,,
1/1/1914,1,,,,10,,,,,96.9771637,4.53221619
2/1/1914,1,,,,9.9,,,,,,
3/1/1914,1,,,,9.9,,,,,,
4/1/1914,1,,,,9.8,,,,,,
5/1/1914,1,,,,9.9,,,,,,
6/1/1914,1,,,,9.9,,,,,,
7/1/1914,1,,,,10,,,,,,
8/1/1914,1,,,,10.2,,,,,,
9/1/1914,1,,,,10.2,,,,,,
10/1/1914,1,,,,10.1,,,,,,
11/1/1914,1,,,,10.2,,,,,,
12/1/1914,1,,,,10.1,,,,,,
1/1/1915,,,,,10.1,,,,,88.1487638,4.160818193
2/1/1915,,,,,10,,,,,,
3/1/1915,,,,,9.9,,,,,,
4/1/1915,,,,,10,,,,,,
5/1/1915,,,,,10.1,,,,,,
6/1/1915,,,,,10.1,,,,,,
7/1/1915,,,,,10.1,,,,,,
8/1/1915,,,,,10.1,,,,,,
9/1/1915,,,,,10.1,,,,,,
10/1/1915,,,,,10.2,,,,,,
11/1/1915,,,,,10.3,,,,,,
12/1/1915,,,,,10.3,,,,,,
1/1/1916,,,,,10.4,,,,,93.72485165,4.555428565
2/1/1916,,,,,10.4,,,,,,
3/1/1916,,,,,10.5,,,,,,
4/1/1916,,,,,10.6,,,,,,
5/1/1916,,,,,10.7,,,,,,
6/1/1916,,,,,10.8,,,,,,
7/1/1916,,,,,10.8,,,,,,
8/1/1916,,,,,10.9,,,,,,
9/1/1916,,,,,11.1,,,,,,
10/1/1916,,,,,11.3,,,,,,
11/1/1916,,,,,11.5,,,,,,
12/1/1916,,,,,11.6,,,,,,
1/1/1917,,,,,11.7,,,,,85.00903742,4.648278065
2/1/1917,,,,,12,,,,,,
3/1/1917,,,,,12,,,,,,
4/1/1917,,,,,12.6,,,,,,
5/1/1917,,,,,12.8,,,,,,
6/1/1917,,,,,13,,,,,,
7/1/1917,,,,,12.8,,,,,,
8/1/1917,,,,,13,,,,,,
9/1/1917,,,,,13.3,,,,,,
10/1/1917,,,,,13.5,,,,,,
11/1/1917,,,,,13.5,,,,,,
12/1/1917,,,,,13.7,,,,,,
1/1/1918,,,,,14,,,,,75.56662106,4.944235844
2/1/1918,,,,,14.1,,,,,,
3/1/1918,,,,,14,,,,,,
4/1/1918,,,,,14.2,,,,,,
5/1/1918,,,,,14.5,,,,,,
6/1/1918,,,,,14.7,,,,,,
7/1/1918,,,,,15.1,,,,,,
8/1/1918,1,,,,15.4,,,,,,
9/1/1918,1,,,,15.7,,,,,,
10/1/1918,1,,,,16,,,,,,
11/1/1918,1,,,,16.3,,,,,,
12/1/1918,1,,,,16.5,,,,,,
1/1/1919,1,,,,16.5,,,,,70.51379536,5.43749881
2/1/1919,1,,,,16.2,,,,,,
3/1/1919,1,,,,16.4,,,,,,
4/1/1919,,,,,16.7,,,,,,
5/1/1919,,,,,16.9,,,,,,
6/1/1919,,,,,16.9,,,,,,
7/1/1919,,,,,17.4,,,,,,
8/1/1919,,,,,17.7,,,,,,
9/1/1919,,,,,17.8,,,,,,
10/1/1919,,,,,18.1,,,,,,
11/1/1919,,,,,18.5,,,,,,
12/1/1919,,,,,18.9,,,,,,
1/1/1920,1,,,,19.3,,,,,66.07414907,5.959777244
2/1/1920,1,,,,19.5,,,,,,
3/1/1920,1,,,,19.7,,,,,,
4/1/1920,1,,,,20.3,,,,,,
5/1/1920,1,,,,20.6,,,,,,
6/1/1920,1,,,,20.9,,,,,,
7/1/1920,1,,,,20.8,,,,,,
8/1/1920,1,,,,20.3,,,,,,
9/1/1920,1,,,,20,,,,,,
10/1/1920,1,,,,19.9,,,,,,
11/1/1920,1,,,,19.8,,,,,,
12/1/1920,1,,,,19.4,,,,,,
1/1/1921,1,,,,19,,,,,65.61430848,5.826306089
2/1/1921,1,,,,18.4,,,,,,
3/1/1921,1,,,,18.3,,,,,,
4/1/1921,1,,,,18.1,,,,,,
5/1/1921,1,,,,17.7,,,,,,
6/1/1921,1,,,,17.6,,,,,,
7/1/1921,1,,,,17.7,,,,,,
8/1/1921,,,,,17.7,,,,,,
9/1/1921,,,,,17.5,,,,,,
10/1/1921,,,,,17.5,,,,,,
11/1/1921,,,,,17.4,,,,,,
12/1/1921,,,,,17.3,,,,,,
1/1/1922,,,,,16.9,,,,,74.79619714,5.907549401
2/1/1922,,,,,16.9,,,,,,
3/1/1922,,,,,16.7,,,,,,
4/1/1922,,,,,16.7,,,,,,
5/1/1922,,,,,16.7,,,,,,
6/1/1922,,,,,16.7,,,,,,
7/1/1922,,,,,16.8,,,,,,
8/1/1922,,,,,16.6,,,,,,
9/1/1922,,,,,16.6,,,,,,
10/1/1922,,,,,16.7,,,,,,
11/1/1922,,,,,16.8,,,,,,
12/1/1922,,,,,16.9,,,,,,
