weeknumber	weekday	date	start	end	duration	category	project	location
1	3	1/2	11:40 AM	12:00 p	0:20	science		plane
1	3	1/2	2:30 p	4:10 p	1:40	science		plane
1	3	1/2	4:30 p	7:10 p	2:40	science		plane
1	3	1/2	5:40 p	6:20 p	0:40	science		hawaii
1	3	1/2	8:05 p	9:35 p	1:30	science		hawaii
1	3	1/2	10:20 PM	10:45 PM	0:25	science		hawaii
1	4	1/3	9:30 AM	10:00 AM	0:30	science		hawaii
1	4	1/3	11:15 AM	12:15 PM	1:0	science		hawaii
1	4	1/3	13:30	4:30 PM	3:0	science	conference	hawaii
1	4	1/3	6:40 PM	7:30 PM	0:50	science		hawaii
1	4	1/3	7:30 PM	9:00 PM	1:30	professional	conference	hawaii
1	4	1/3	9:10 PM	9:40 PM	0:30	science		hawaii
1	5	1/4	8:30 AM	5:30 PM	9:0	science	conference	hawaii
1	5	1/4	6:00 PM	6:20 PM	0:20	science		hawaii
1	6	1/5	8:30 AM	5:10 PM	8:40	science	conference	hawaii
1	7	1/6	8:30 AM	4:40 PM	8:10	science	conference	hawaii
1	7	1/6	10:45 PM	11:00 PM	0:15	professional	website	hawaii
2	1	1/7	8:30 AM	10:30 AM	2:0	science	conference	hawaii
2	1	1/7	11:30 AM	12:45 PM	1:15	science	conference	hawaii
2	2	1/8	2:10 PM	4:30 PM	2:20	science		plane
2	3	1/9	9:30 AM	10:25 AM	0:55	extracurricular	diversity	campus
2	3	1/9	10:35 AM	11:45 AM	1:10	science		lab
2	3	1/9	12:00 PM	2:30 PM	2:30	extracurricular	refs	campus
2	3	1/9	2:45 PM	5:45 PM	3:0	science		lab
2	3	1/9	7:10 PM	8:20 PM	1:10	science		lab
2	4	1/10	11:00 AM	11:15 AM	0:15	science		home
2	4	1/10	11:50 AM	2:40 PM	2:50	science		lab
2	4	1/10	3:50 PM	5:15 PM	1:25	science		lab
2	4	1/10	10:30 PM	11:10 PM	0:40	science		home
2	5	1/11	10:30 AM	10:40 AM	0:10	extracurricular	diversity	home
2	5	1/11	10:50 AM	11:10 AM	0:20	science		home
2	5	1/11	3:50 PM	5:30 PM	1:40	science		lab
2	5	1/11	5:30 PM	7:00 PM	1:30	extracurricular	diversity	campus
2	5	1/11	7:15 PM	7:50 PM	0:35	science		lab
2	5	1/11	10:00 PM	10:30 PM	0:30	science		home
2	6	1/12	10:50 AM	1:00 PM	2:10	science		home
2	6	1/12	2:00 PM	4:40 PM	2:40	science		home
2	6	1/12	5:10 PM	6:10 PM	1:0	science		home
2	6	1/12	8:10 PM	10:30 PM	2:20	science		home
2	7	1/13	2:00 PM	6:20 PM	4:20	science		home
3	1	1/14	8:15 PM	8:55 PM	0:40	extracurricular	addir	home
3	2	1/15	9:30 AM	9:45 AM	0:15	science		lab
3	2	1/15	9:45 AM	11:40 AM	1:55	extracurricular	refs	campus
3	2	1/15	11:40 AM	12:50 PM	1:10	science		lab
3	2	1/15	1:05 PM	6:55 PM	5:50	science		lab
3	3	1/16	10:25 AM	12:40 PM	2:15	science		lab
3	3	1/16	1:20 PM	6:00 PM	4:40	science		lab
3	4	1/17	10:00 AM	11:00 AM	1:0	extracurricular	refs	campus
3	4	1/17	11:00 AM	1:15 PM	2:15	extracurricular	diversity	campus
3	4	1/17	2:25 PM	6:40 PM	4:15	science		lab
