Who paid,How much,For what,From where,Category
CD,$815.28,Fridge,home depot,appliances
CD,$185.96,Microwave and outdoor shower,home depot,appliances
BP,$159.50,Utilities,casa russell,utilities
CD,$312.77,Moving truck & other moving costs,home depot (Waltham),moving
CD,$296.01,Moving truck (first weekend),home depot (Chelsea),moving
BP,$567.91,Butcher blocks,home depot,kitchen
BP,$54.75,induction stove,amazon,appliances
BP,$60.75,kitchen and organizing stuff,amazon,kitchen
BP,$84.59,kitchen stuff and whiteboard,amazon,kitchen
BP,$46.99,garden hooks,amazon,gift
BP,$74.28,whiteboard,amazon,house
BP,$15.00,silpat,amazon,kitchen
BP,$19.30,pur pitcher,amazon,kitchen
BP,$349.54,"toaster oven, oxo stuff",amazon,appliances
BP,$8.69,hooks,amazon,house
BP,$25.00,cheese grater,amazon,kitchen
BP,$85.79,oxo and rubbermaid,amazon,kitchen
BP,$12.95,oxo,amazon,kitchen
BP,$9.20,knife,amazon,kitchen
BP,$75.87,cutting board,amazon,kitchen
BP,$50.03,deodorant,amazon,house
BP,$14.99,oxo,amazon,kitchen
BP,$115.09,oxo and pur stuff,amazon,kitchen
BP,$27.95,pur,amazon,kitchen
BP,$39.24,kitchen organization,amazon,kitchen
BP,$126.94,kitchen organization,amazon,kitchen
BP,$9.99,oxo,amazon,kitchen
BP,$27.49,pur filters,amazon,kitchen
BP,$19.99,oxo,amazon,kitchen
BP,$6.99,bowl scrapers,amazon,kitchen
BP,$22.99,water bottle,amazon,house
BP,$17.99,oxo,amazon,kitchen
BP,$68.83,"knife, sweatpants, other kitchen stuff",amazon,kitchen
BP,$18.82,dog pooper scooper,amazon,dog
BP,$59.99,snacks,amazon,snacks
BP,$27.07,heating pad,amazon,house
BP,$223.85,organization stuff,amazon,house
BP,$46.71,moving stuff,home depot,moving
BP,$40.16,moving stuff,uhaul,moving
BP,$159.50,moving stuff,home depot (watertown),moving
BP,$84.15,moving stuff,lowes,moving
BP,$100.25,moving stuff,home depot,moving
BP,$46.71,moving stuff,home depot,moving
BP,$181.62,internet and electricity,casa russell,utilities
CD,"$3,000.00",bike/hot tub,,gift
CD,$764.99,dishwasher,best buy,appliances
BP,$118.83,oxo and other things,amazon,kitchen
BP,$10.46,oxo,amazon,kitchen
BP,$15.95,oxo,amazon,kitchen
BP,$16.49,kitchen storage,amazon,kitchen
BP,$35.70,kitchen storage,amazon,kitchen
BP,$15.99,kitchen,amazon,kitchen
BP,$308.10,"kitchen, hot water kettle and dish drying rack",amazon,kitchen
BP,$82.73,gas masks and monitor stand for ben,amazon,house
BP,$26.97,gas mask,amazon,house
BP,$26.97,gas mask,amazon,house
BP,$8.02,gas mask accessories,amazon,house
BP,$197.28,dog treats,amazon,dog
BP,$20.99,sink drying rack,amazon,kitchen
BP,$19.99,cat water filters,amazon,dog
BP,$33.86,kitchen,amazon,kitchen
BP,$15.99,dog treats,amazon,dog
BP,$19.99,dog toy,amazon,dog
BP,$23.99,dog toy,amazon,dog
CD,$50.00,article couch return,article,furniture
CD,"$1,974.50",floyd couch,floyd,furniture
