"","Judges","% prison/jail sentences above median","% Class 4 felonies sentenced to prison/jail","Severity metric"
"1","Maura  Slattery Boyle",0.51816091954023,0.656955571740714,0.587558245640472
"2","URSULA  WALOWSKI",0.50613154960981,0.657487091222031,0.581809320415921
"3","Joseph Michael Claps",0.571742957746479,0.588020452885318,0.579881705315898
"4","Diane Gordon Cannon",0.493033226152197,0.665843621399177,0.579438423775687
"5","Kevin M Sheehan",0.461297071129707,0.679962013295347,0.570629542212527
"6","Jorge Luis Alonso",0.506493506493506,0.623149394347241,0.564821450420374
"7","William G Lacy",0.48400180261379,0.645614035087719,0.564807918850755
"8","Alfredo  Maldonado",0.509635974304068,0.61228813559322,0.560962054948644
"9","Domenica A Stephenson",0.522906793048973,0.583646616541353,0.553276704795163
"10","Matthew E Coghlan",0.507528786536758,0.598200899550225,0.552864843043491
"11","Michael B McHale",0.506582713222667,0.595108695652174,0.550845704437421
"12","Angela Munari Petrone",0.510582010582011,0.590529247910863,0.550555629246437
"13","Timothy Joseph Joyce",0.500287191269385,0.600739371534196,0.550513281401791
"14","James B Linn",0.578975596674712,0.520786767992848,0.54988118233378
"15","Thomas J Hennelly",0.440371229698376,0.654545454545455,0.547458342121915
"16","Charles P Burns",0.564421416234888,0.529283216783217,0.546852316509052
"17","Vincent M Gaughan",0.503484320557491,0.583176396735719,0.543330358646605
"18","Thaddeus L Wilson",0.530251785043217,0.553988062940857,0.542119923992037
"19","Mary Margaret Brosnahan",0.42477140482128,0.650473186119874,0.537622295470577
"20","Stanley  Sacks",0.506039150354019,0.562890896455872,0.534465023404946
"21","Erica L Reddick",0.540518638573744,0.524896265560166,0.532707452066955
"22","James Michael Obbish",0.49024024024024,0.569726699369306,0.529983469804773
"23","Michael  Brown",0.576822916666667,0.477678571428571,0.527250744047619
"24","Byrne, Thomas",0.513513513513513,0.537997587454765,0.525755550484139
"25","Rickey  Jones",0.469503546099291,0.580369843527738,0.524936694813515
"26","Joan Margaret O'Brien",0.443850267379679,0.594619666048237,0.519234966713958
"27","Araujo, Mauricio",0.479166666666667,0.559080962800875,0.519123814733771
"28","Carol M Howard",0.458367346938776,0.577790630422209,0.518078988680492
"29","William  Raines",0.334313725490196,0.701578192252511,0.517945958871353
"30","Clayton Jay Crane",0.484658735128366,0.548327137546468,0.516492936337417
"31","Neil J Linehan",0.331961591220851,0.698252688172043,0.515107139696447
"32","Arthur F Hill",0.455344747801944,0.569583931133429,0.512464339467686
"33","Pamela A Leeming",0.39521800281294,0.629294755877034,0.512256379344987
"34","Maria  Kuriakos Ciesil",0.456026058631922,0.558730158730159,0.50737810868104
"35","Neera  Walsh",0.45607911576498,0.556064073226545,0.506071594495762
"36","Kenneth J Wadas",0.437397708674304,0.572212065813528,0.504804887243916
"37","John T Doody",0.510791366906475,0.498817966903073,0.504804666904774
"38","Thomas V Gainer",0.444226044226044,0.562595419847328,0.503410732036686
"39","Steven J Goebel",0.45681581685744,0.540816326530612,0.498816071694026
"40","Nicholas R Ford",0.446801773274224,0.547659334461365,0.497230553867795
"41","Carol A Kipperman",0.553293413173653,0.435460992907801,0.494377203040727
"42","William J Kunkle",0.353483606557377,0.631901840490798,0.492692723524087
"43","William H Hooks",0.453023758099352,0.528571428571429,0.49079759333539
"44","Catherine Marie Haberkorn",0.452354874041621,0.523775727466288,0.488065300753955
"45","Sharon M Sullivan",0.451837769328264,0.515360983102919,0.483599376215591
"46","Lawrence Edward Flood",0.398098387763539,0.567520372526193,0.482809380144866
"47","Michele M Pitman",0.399897593445981,0.565579984836998,0.482738789141489
"48","James N Karahalios",0.363501483679525,0.597701149425287,0.480601316552406
"49","Dennis J Porter",0.450980392156863,0.508250825082508,0.479615608619686
"50","Joseph G Kazmierski",0.369982547993019,0.587730061349693,0.478856304671356
"51","Colleen Ann Hyland",0.379007633587786,0.578238341968912,0.478622987778349
"52","Gregory Robert Ginex",0.51877133105802,0.429868819374369,0.474320075216195
"53","Evelyn B Clay",0.516462233699161,0.432142857142857,0.474302545421009
"54","Anna Helen Demacopoulos",0.464632454923717,0.479838709677419,0.472235582300568
"55","Jeffrey L Warnick",0.50402144772118,0.436507936507937,0.470264692114558
"56","Brian K Flaherty",0.465766185374942,0.474734042553192,0.470250113964067
"57","Luciano  Panici",0.457349081364829,0.481977342945417,0.469663212155123
"58","William T O'Brien",0.427496865858755,0.504891304347826,0.46619408510329
"59","Noreen Valeria Love",0.518633540372671,0.412551440329218,0.465592490350944
"60","Geary W Kull",0.366515837104072,0.564528899445764,0.465522368274918
"61","ELLEN  MANDELTORT",0.41396933560477,0.508,0.460984667802385
"62","Mary C Roberts",0.400414937759336,0.512935883014623,0.45667541038698
"63","Garritt E Howard",0.484330484330484,0.422310756972112,0.453320620651298
"64","Paula M Daleo",0.437031484257871,0.465245597775718,0.451138541016795
"65","Shelley  Sutker-Dermer",0.397670549084859,0.501890359168242,0.44978045412655
"66","Kerry M Kennedy",0.342657342657343,0.542725173210162,0.442691257933752
"67","Peggy  Chiampas",0.351744186046512,0.525925925925926,0.438835055986219
"68","Steven G Watkins",0.37221269296741,0.50487012987013,0.43854141141877
"69","Ramon  Ocasio",0.431137724550898,0.445255474452555,0.438196599501727
"70","Frank G Zelezinski",0.442567567567568,0.433189655172414,0.437878611369991
"71","Earl B Hoffenberg",0.38470066518847,0.48728813559322,0.435994400390845
