page_id	protest_id	protest_location	protest_start	protest_end	protest_subject	protest_participants	protest_time	protest_description	protest_urls
1	6730	London, England - happened?	Tuesday, October 19, 2021	- Present	Subject(s): Local - Monument - Robert Geffyre, History - Slavery	Participant(s): Unclear	Time: Continuous	Description: Boycott of Museum of the Home over statue of Geffrye, who made money from slave trade	Source(s):##https://www.hackneycitizen.co.uk/2021/10/19/campaigners-museum-boycott-calls-teachers-families-join-slaver-statue/
1	4538	Minneapolis, MN	Friday, June 5, 2020	- Present	Subject(s): General - Police Brutality	Participant(s): 15	Time: Continuous	"Description: ""Say Their Names"" symbolic cemetery of 100 Black people killed by police"	Source(s):##https://www.minneapolis.org/support-black-lives/38th-and-chicago/##https://theconversation.com/black-deaths-matter-the-centuries-old-struggle-to-memorialize-slaves-and-victims-of-racism-140613##https://www.mndaily.com/article/2020/06/say-their-names-cemetery##https://twitter.com/TwinCityReports/status/1272286571929178112##https://twitter.com/TwinCityReports/status/1272718480148660224
1	2948	Minneapolis, MN	Tuesday, May 26, 2020	- Present	Subject(s): George Floyd	Participant(s): Hundreds-Thousands (est.)	Time: Continuous	Description: Makeshift memorial at site where Floyd was killed	Source(s):##https://twitter.com/bengarvin/status/1267291981266530305##https://twitter.com/stribrooks/status/1266005779158568963##https://twitter.com/OmarJimenez/status/1265394526379806720
1	6754	Minneapolis, MN	Saturday, February 5, 2022		Subject(s): Amir Locke, Local - Law Enforcement - Ofc. Mark Hanneman, Local - Law Enforcement - Minneapolis Police Department	Participant(s): 1000+	Time: Afternoon	Description: Response to killing of Locke by police in raid; attended by Locke's father & other family	Source(s):##https://www.startribune.com/protest-of-police-killing-of-amir-locke-draws-hundreds-to-minneapolis/600143527/##https://www.startribune.com/outrage-and-protests-continue-over-death-of-amir-locke/600143607/##https://www.mprnews.org/story/2022/02/05/photos-protesters-march-in-downtown-minneapolis-calling-for-justice-for-amir-locke
1	6755	Minneapolis, MN	Friday, February 4, 2022		Subject(s): Amir Locke, Local - Law Enforcement - Ofc. Mark Hanneman, Local - Law Enforcement - Minneapolis Police Department	Participant(s): Dozens	Time: Evening	Description: Car caravan throught city w/ stop at bldg where police killed Locke	Source(s):##https://minnesota.cbslocal.com/2022/02/05/car-caravan-rolls-through-downtown-minneapolis-in-protest-of-amir-locke-killing/##https://twitter.com/AdamDuxter/status/1489756085418397704##(thread)
1	6753	Chicago, IL	Thursday, February 3, 2022		Subject(s): Laquan McDonald, Local - Law Enforcement - Ofc. Jason Van Dyke	Participant(s): 1000	Time: Afternoon-Evening	Description: Against release of Van Dyke; nine arrested included McDonald's grandmother & Jacob Blake's uncle; outside Dirksen Federal Courthouse	Source(s):##https://chicago.suntimes.com/crime/2022/2/3/22916955/protesters-arrested-calling-federal-charges-van-dyke-shut-down-entire-city-of-chicago##https://www.chicagotribune.com/news/criminal-justice/ct-jason-van-dyke-released-laquan-mcdonald-20220204-xj67bhcnrrfsxgmdcr6dajk3fi-story.html
1	6751	Brunswick, GA	Wednesday, November 24, 2021		"Subject(s): Ahmaud Arbery, Travis McMichael, Gregory McMichael, William ""Roddie"" Bryan"	Participant(s): 100+ (est.)	Time: Morning-Afternoon	Description: Outside Glynn County Courthouse during McMichael/Bryan trial; included march around courthouse after guilty verdicts read	Source(s):##https://www.11alive.com/article/news/crime/ahmaud-arbery/closing-arguments-to-wrap-death-of-ahmaud-arbery-trial/77-941169ab-5b55-408d-a94e-5e295d6b43fd##https://www.wsbtv.com/news/local/activists-hold-impromptu-march-calling-guilty-verdicts-arbery-trial-historical-victory/GGBE7EGZ65HTPBGHBZETE7U5QU/?utm_campaign=snd-autopilot
1	6749	Brunswick, GA	Tuesday, November 23, 2021		"Subject(s): Ahmaud Arbery, Travis McMichael, Gregory McMichael, William ""Roddie"" Bryan"	Participant(s): 100+	Time: Evening	Description: Outside Glynn County Courthouse during jury deliberations	Source(s):##https://www.news4jax.com/news/local/2021/11/23/group-prays-for-ahmaud-arberys-family-jurors-community/##https://www.sacbee.com/news/nation-world/national/article256100732.html
1	6748	Boston, MA	Monday, November 22, 2021		Subject(s): Kyle Rittenhouse, Legal System - Acquittal, Black Lives Matter Activist/Protester, Joseph Rosenbaum, Anthony Huber, Gaige Grosskreutz, Local - Law Enforcement - Boston Police Department	Participant(s): 12	Time: Afternoon	Description: No details included for this demonstration.	Source(s):##https://www.bostonglobe.com/2021/11/22/metro/another-example-bias-rally-against-rittenhouse-verdict-planned-outside-mass-state-house-monday-afternoon/
1	6745	Brunswick, GA	Monday, November 22, 2021		"Subject(s): Ahmaud Arbery, Travis McMichael, Gregory McMichael, William ""Roddie"" Bryan"	Participant(s): Dozens	Time: Unclear	Description: Outside Glynn County Courthouse during McMicheal/Bryan trial; included New Black Panther Party	Source(s):##https://www.news4jax.com/news/local/2021/11/22/activists-rally-outside-glynn-county-courthouse-as-closing-arguments-begin-in-arbery-death-trial/##https://thebrunswicknews.com/news/local_news/new-black-panther-party-holds-rally-outside-courthouse/article_9a02f660-eb8e-58da-956a-be662169e4fd.html
