sentiment,text
neg,"If there was a God, he would have made sure this movie stayed in the toilet were it was crapped up. This is BY FAR the worst vampire movie I have ever seen. I may never watch a vampire film again because of this movie. It makes Zombie Lake look like The Sound of Music."
neg,"This movie must have been the absolute worst movie i have ever seen. My sister and her boyfriend went to rent Zodiac (2007) and got this one by accident. thought it was a joke before the actual movie. this was terrible i was waiting for it to get scary and it never did. this movie had not actual facts about the real Zodiac killer. The filmmakers clearly didn't even bother to research anything on the killings... they only liked the name... so they decided to write a script about nothing true to its name. I am upset i didn't realize it wasn't the movie sooner. I try to like something out of every movie, i don't hate movies... ever... except this one. If you could have given it no stars, i definitely would have. 1 out of 10."
neg,"Wes Craven, you are having a laugh... at our expense. The Red Eye plot is preposterous... We are confronted by a guy who has apparently spent 8 weeks watching a girl, who then turns up at an airport behind her, flirts and chats her up successfully, somehow wangles a seat next to her in a two seat space, not trapped in the middle of a five seat row (contacts at check-in?) and is cheezily nice during a painfully slooooow build up. Then, once up in the air, in a confined space, surrounded by strangers, he immediately starts threatening the vacuous, if super-efficient, Rachel McAdams and saying tosh like 'we got ya daddy, do what I say, or poppa gets it'. Well, forgive me, but didn't they already have her daddy ready for slaughter-so-you-better-oughta long before she stepped on the plane and therefore wouldn't it have been oh, sooooooo much simpler to simply snatch the gal off the street and terrorise her in a room somewhere, forgetting the complicated and insecure dad plot, pulling her nails out or whatever until she made the all important 'call' required? Or even - cos this is the movies and we need a few unreal twists - keep the dumb dad-in-distress thing intact if you must, but dress it up better so that holding him in harms way until the convoluted plot had been concluded made some sense, without the plane dumbdown? Alternatively, without wanting to sound like an actual thinking terrorist/assassin - couldn't the massive bazooka-missile thang employed have been far more easily used on, say, a car driving down the highway, with the politician inside, rather than the 50th story of a Miami seafront hotel, from a fishing boat (mind you, as we already know, security in Miami is lax, so they'll speed away)? I know, I know, far more fun to go through watching a pretty girl for 8 weeks, burgle her dads house to steal his wallet (that somehow - star trek style - gets transported from Miami to Texas instantly) in order to - perhaps - get her to arrange for a politician to change hotel room and, and, and... Well, a thousand things could go wrong here, each one entirely destroying the Big Plan, so why not slim the elements down to a sensible handful, such as - 1. bazooka. 2. car. 3. boom! My 50 minute drive home from the cinema was spent highlighting the abundance of flaws and stupid cod-Hitchcockian twists, which sadly was the best fun of the whole sorry experience. And as for security back at Miami Airport... we have an apparently crazy and violent girl running off a plane, chased by cops, who during the chase sits down to have a coffee, moves elsewhere to read a magazine at a bar, then runs again like crazy up and down the whole terminal... by now also chased by crazed Cillian Murphy (no CCTV then? - I had guns pulled on me for parking in the wrong place for 10 seconds at Miami Airport a couple of years back). So instead of speaking to the cops - her allies - or getting on the blower at a call-box direct to her dad to warn him his life is in danger, McAdams prefers instead to steal a People Carrier off a family in the Airport forecourt (call the damned security...) and drives home to daddy, mowing down the assassin with the vehicle in the front garden of the house, in a rich neighbourhood-watch district, crushing the front porch in the process - an act which actually slightly wakes dad up from an afternoon snooze, after about a minute, yet which somehow fails to register with neighbours who aren't even mildly curious, thus ensuring 15 more minutes of hide and seek shenanigans as the duo run around the vast Hollodeck type house... Dohhh, it actually hurts to keep thinking about it all - Cillian (surely renamed Silly 'un for doing this one?) preposterously turns from ice assassin to comically unhinged (and inept) lunatic killer at the end, this theoretically ruthless despatcher of human life now allowing the dad to live so that he can watch his daughter getting her goose cooked. I'd better stop, because the stream of drivel I'm writing here must sound as uncoordinated as the Red Eye script. If Ms McAdams hadn't been allowed to get on the plane in the first place the title could have been altered, from 'Red Eye' to 'No Eye, Dear'. RR"
neg,"I tried to watch this movie twice and both times I still couldn't make it to the end credits. First time I managed to sit through the first fight sequence then lost interest. Second time I managed to force myself to digest over an hours worth of shoddy acting, lame SFX and extremely poor direction. Pales in comparison to the original.<br /><br />Anyone ever hear about the old ET Atari 2600 fiasco? For those who haven't let me fill you in. It's 1982...ET is one of the biggest box office smashes of all time...Atari decides to release a movie tie-in game on their 2600 home console system. To cut a long and financially painful story short the game flopped big time and resulted in thousands upon thousands of Atari 2600 ET games to be dumped in landfills because they couldn't even give them away let alone sell them.<br /><br />What does Universal Soldier: The Return have to do with this story? Look at the 3.2 rating and figure it out for yourself.<br /><br />Awful film...IMDb forced me to give it a 1 out of 10 because their rating systems doesn't go as low as 0 let alone into the negatives."
neg,"This picture started out with good intentions, Bacon the scientist out to test the theory of invisibility, and Shue is cute as usual in her role. It all falls apart after that, it's your typical Hollywood thriller now, filmed on a soundstage with special effects galore, minus any kind of humour, wit or soul. In other words, don't waste your time watching this. Get the audiocassette tape with John DeLancie as the Invisible Man instead, also starring Leonard Nimoy. Now that was good, and HG Wells is well served, unlike with this mess."
neg,"The IMDb plot summary in no way describes the essence of this film. It should have read 'Be prepared to be catapulted back to the prison of the 3rd pew from the back of your family's church at 8 years old, listening to the preacher drone on about God's will while all you can think of is getting back home to your Lego'.<br /><br />It starts off well intentioned, building intrigue by planting some real and surreal clues such as Renny's 'how did the cut on my thumb heal so fast?' moment. It then slowly morphs into a Christian jamboree, sacrificing its plot completely in a wash of evangelistic-induced babble. I believe I counted the use of the word 'pray' about 53 times in a five minute span near the end. After the 31st, I tried to twist the context of the word to its synonym, 'prey'. Sadly, this little mind game of mine made the film at least bearable for the last 20 minutes. Plus it made me laugh whenever a character would say 'prayer' ('preyer' to me) as it became totally zany. Indeed, even my Catholic wife sunk in her chair from boredom, almost to the point of ending up on the floor.<br /><br />For all the salivating Christians who ranked this film 8-10 stars, I suggest sticking with your theology-reinforcing safety standards like Circle Square, The Ten Commandments, anything from Narnia, Jesus Christ Superstar and the like. Stay away from more cerebrally challenging subject matter in films such as Jesus Camp, The God Who Wasn't There, What Would Jesus Buy, or the soon-to-be released Religulous.<br /><br />Maybe Robert Whitlow's book is better."
neg,">>>>>>>>>>>>> >>>>>>>>>>>>>>>>> >>>>>>>>>>>>>>>>>>>>>> >>>>>>>> >>>>>>> With their no holds bar cruel offensive humor, sure enough to offended anyone, you would sure think this would be a laugh riot! ............wrong. Worest movie since Open water. Don't be to surprised if you completely miss this movie upon release date as I'm sure it wont do very good at all at the box office. This movie had a lot of Potential but fell to little to short. No enough character development, awkward actors and The upside of this movie was nudity. Boobs. Amazing. If I had to see this movie again, I myself would go POSTAl. <<<<<<<<<<<< <<<<<<<<<<<<<<<<<<<< <<<<<<<<<<<<<<<<<<<<<<<< <<<<<<<"
neg,"DR. SEUSS' HOW THE GRINCH STOLE CHRISTMAS / (2000) ** (out of four)<br /><br />If you desire to see a holiday movie that will inspire your seasonal spirits and continue the traditional Dr. Seuss classic fable, don't see ""Dr. Seuss' How the Grinch Stole Christmas."" If you are old enough to read this review, then you are probably too old to get any kind of enjoyment out of this motion picture. It contains lots of colors, creative production design and imaginative set and costume construction, joyous load noises, and the characters are made up to look like the actual inhabitants of the fictional village Whoville. Unfortunately that is where the movie's positive elements end; the rest of the production is nothing but an excuse for Jim Carrey to cackle on screen while giving a devilish grin, all while prancing through the overly broad screenplay with nothing much to do.<br /><br />Many people recognize the story of how the grinch stole Christmas from Whoville, so I will not waste my time in writing a detailed synopsis for you to read. However, I will say that the movie's story is executed in three major acts; the development of the grinch and setting, the Whoville festival, and the Dr. Seuss vision of the mean one robbing the Who's from their Christmas. There are many familiar names within the credits here, but no familiar faces. Like in ""Battlefield Earth,"" I just do not see why the producers would hire expensive actors just to have their identities shielded by unrecognizable makeup and costumes. Regardless, there is SNL's Molly Shannon as Betty Lou, the wife of Bill Irwin, the later playing Lou Lou, the father of little Cindy Lou, played by Taylor Momsen. Jeffrey Tambor is the Whoville mayor, Anthony Hopkins lends his bellowing voice for the film's narrator, and Christine Baranski is the Grinch's lone lost lover.<br /><br />The filmmakers attempt to bring originality to the story by adding unnecessary subplots and focusing too much on the little Cindy Lou. The screenplay by Jeffrey Price and Peter S. Seaman just feels like it goes everywhere across the movie landscape; there is little if any focus by director Ron Howard and the screenplay is predictable, too extensive, and contrived. The only character given any distinctions here is the Grinch himself, all of the other characters are puppets of the plot, shapeless and uninteresting. And the dialogue is overzealous and too corny to be anything but pathetic. Example-Grinch: Oh, the Who-manity!<br /><br />The movie's redeeming factors go out to the gifted production designer Michael Corenblith, the costume designer Rita Ryack, and the ample makeup department. ""How the Grinch Stole Christmas"" is a very good-looking production. The sets and the atmosphere created by the filmmakers are detailed and imaginative; it is like the audience is visiting a world as in a dream. The people of Whoville are plastered with makeup, to the point in which we cannot tell the actor reciting the humorless lines. Although dazzling, I really can't give credit to the performances, for they are over looked to due the expensive technical department taking their place.<br /><br />Jim Carrey is one actor who I can talk about. His performance is what nearly destroys the movie itself He is way too egotistic as the Grinch, too exaggerated and comical to allow the story to be anywhere near recognizable as the work of Seuss. Surprisingly, although there are a few funny moments due to a few slyly clever sequences, no laughs come from Jim Carry's zany silliness. It is almost like the movie was wrote specifically for Carry to overplay his part. This factor only leads the movie to a wild but brainless comedy, which is only a pale shadow of the original Christmas classic ""How the Grinch Stole Christmas.""<br /><br />After this movie, historians should check the coffin of the late author, Dr. Seuss may have rolled over in his grave.<br /><br />"
neg,"Acting is horrible. This film makes Fast and Furious look like an academy award winning film. They throw a few boobs and butts in there to try and keep you interested despite the EXTREMELY weak and far fetched story. There is a reason why people on the internet aren't even downloading this movie. This movie sunk like an iron turd. DO NOT waste your time renting or even downloading it. This film is and always will be a PERMA-TURD. I am now dumber for having watched it. In fact this title should be referred to as a ""PERMA-TURD"" from now on. Calling it a film is a travesty and insult. abhorrent, abominable, appalling, awful, beastly, cruel, detestable, disagreeable, disgusting, dreadful, eerie, execrable, fairy, fearful, frightful, ghastly, grim, grisly, gruesome, heinous, hideous, horrendous, horrid, loathsome, lousy, lurid, mean, nasty, obnoxious, offensive, repellent, repulsive, revolting, scandalous, scary, shameful, shocking, sickie, terrible, terrifying, ungodly, unholy, unkind"
neg,"America. A land of freedom, of hope and of dreams. This is the nation that, since its independence, has striven to bring democracy, prosperity, and peace to the entire world, for the good of all mankind. There are times, however, when one cannot help but wish that the American's would just stay on their side of the Atlantic. <br /><br />This 'movie' (and I use that word with some reservations) evokes these feelings with an intense purity. This vision of hell follows the adventures of Calvin, a freakish jewel thief who was created by attaching the severed head of Marlon Wayan onto the body of a two foot-high dwarf. After inadvertently dropping a large diamond into the handbag of Vanessa, a career-woman who is reluctant to have children, Calvin realises that in order to recover the diamond he must ingratiate himself with her. So, as any normal man would, Calvin dresses himself up as a 2 year-old and parks himself upon the poor woman's doorstep, where he is discovered by Darryl, the broody husband of Vanessa. <br /><br />Darryl incongruously falls for Calvin's disguise despite the fact that the 'baby' has a full set of teeth, stubble, a tattoo, a knife-scar, and the sex-drive of a 16-year-old. Even more absurdly, Vanessa doesn't see past Calvin's baby-wear either and actually attempts to breastfeed the diminutive pervert. This wretched assault upon the soul of mankind attempts, and fails, to find humour in rape, scatology, sexual assault, and paedophilia, however, in a dishonest attempt to transform itself into a piece of 'family-entertainment' the Wayan brothers stir in a sickening amount of sentiment and flawed morality. <br /><br />The brothers dim attempt a Freudian rehabilitation of their thieving rapist by revealing that he ""had a bad father"". Repeatedly hitting Darryl in the crotch enables Calvin to develop the loving father-son relationship that both he and Darryl have always wished for. As if this wasn't ridiculous enough, Calvin's attempts to sexually assault Vanessa somehow convince her that it is selfish for a woman to indulge herself with a successful career, and that instead she should spend her life playing the role of the housebound little-woman, who spends her time alternatively squeezing out babies and cooking for her husband. <br /><br />In this movie the Wayan brothers have mixed their crass and twisted form of humour together with the clichéd sentimentality that has infected much of Hollywood's recent body of work. Additionally, they are endemic of the current generation of black comedians who are responsible for transforming African-American humour into a poor and wretched shadow of itself that over-indulges in fart-jokes and crude sexual gags. By rights these two should be legally barred from picking up anything even remotely resembling a camera ever again. <br /><br />Unfortunately the current artistic and moral bankruptcy of American cinema means that by this time next month they will undoubtedly have filmed two sequels and be making millions of dollars from tacky merchandising deals."
