Section,Sname,Beginning,Revenues,Expenses,Ending,Journal,Year,Members
Aging and the Life Course (018),Aging,12752,12104,12007,12849,No,2005,598
"Alcohol, Drugs and Tobacco (030)",Alcohol/Drugs,11933,1144,400,12677,No,2005,301
Altruism and Social Solidarity (047),Altruism,1139,1862,1875,1126,No,2005,NA
Animals and Society (042),Animals,473,820,1116,177,No,2005,209
Asia/Asian America (024),Asia,9056,2116,1710,9462,No,2005,365
Body and Embodiment (048),Body,3408,1618,1920,3106,No,2005,NA
Children and Youth (031),Children,3692,3653,3713,3632,No,2005,418
Coll Behavior/Soc Movemts. (020),CBSM,8127,3470,2704,8893,No,2005,708
Communication and Inform. (028),CITAMS,17093,4800,4804,17089,No,2005,301
Community and Urban Soc. (010),Comm/Urban,26598,24883,23379,28102,Yes,2005,721
Comparative/Historical Soc (022),Comp Hist,4870,3592,2733,5729,No,2005,693
Consumers and Consumption (052),Consumption,1108,3019,3270,857,No,2005,NA
"Crime, Law and Deviance (004)",Crim,4546,3671,1981,6236,No,2005,689
Disability and Society (045),Disability,4325,2590,3352,3563,No,2005,NA
Economic Sociology (040),Econ Soc,1266,2696,2932,1030,No,2005,674
Environment and Technology (013),Env & Tech,4365,3272,5037,2600,No,2005,365
Ethnomethod./Conv Anal. (043),Ethnomethodology,1072,804,66,1810,No,2005,207
Evolution and Sociology (044),Evo Soc,-707,2144,300,1137,No,2005,157
Family (006),Family,9705,5371,4151,10925,No,2005,772
Global and Transnational Soc (049),Global/Transnational,143,3106,2720,529,No,2005,NA
History of Sociology (039),History of Soc,265,1184,903,546,No,2005,233
Human Rights (046),Human Rights,4242,1754,1440,4556,No,2005,NA
"Inequality, Poverty and Mobility (050)",Ineq/Poverty/Mobilty,-90,2502,2440,-28,No,2005,NA
International Migration (035),Migration,1663,6547,6630,1580,No,2005,436
Labor and Labor Movemts. (041),Labor,632,2112,2022,722,No,2005,371
Latino/a Sociology (029),Latina/o,4830,1746,2673,3903,No,2005,337
Marxist Sociology (014),Marxist,7847,3211,2853,8205,No,2005,407
Mathematical Sociology (037),Math,1594,3012,2595,2011,No,2005,196
Medical Sociology (003),Medical,17996,10351,10872,17475,No,2005,1027
Methodology (002),Methodology,1592,2414,2881,1125,No,2005,401
"Orgs, Occupation and Work (007)",OOW,2433,4772,4490,2715,No,2005,981
"Peace, War and Social Conflict (012)",PWSC,12028,3442,6823,8647,No,2005,316
Pol Econ of World-System (017),PEWS,17663,5712,3631,19744,Yes,2005,428
Political Sociology (023),Political,2737,3295,3280,2752,No,2005,755
"Race, Gender and Class (036)",Race Gender Class,6695,3008,3430,6273,No,2005,848
Racial and Ethnic Minorities (021),Racial & Eth Min,14897,4170,9481,9586,Yes,2005,820
Rationality and Society (033),Rationality,698,1045,1807,-64,No,2005,174
"Science, Knowledge and Tech (027)",SKAT,2284,2940,3039,2185,No,2005,418
Sex and Gender (009),Sex & Gender,6150,4748,4354,6544,No,2005,1072
Social Psychology (011),Soc Psych,7600,3936,6206,5330,No,2005,374
