text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @DineshDSouza: No Republican who is absent or sitting on the sidelines now has any chance whatever to be in a leadership position in the…,FALSE,0,NA,2020-11-05T19:46:52Z,FALSE,NA,1324438047820308482,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",freespirit88888,1408,TRUE,FALSE,NA,NA
"RT @w_terrence: This is disgusting! Wake up people! 

This is The Secretary of State of Pennsylvania, the person in charge of overseeing th…",FALSE,0,NA,2020-11-05T19:46:52Z,FALSE,NA,1324438047769960449,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",BrianPumphrey5,1198,TRUE,FALSE,NA,NA
RT @w_terrence: I’m so damn pissed off at the senate Republicans! President Trump helped a lot of them win! We helped them win. Where are t…,FALSE,0,NA,2020-11-05T19:46:52Z,FALSE,NA,1324438047375720450,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",strider4176,1083,TRUE,FALSE,NA,NA
"RT @w_terrence: They used Covid -19 to cheat 

#ElectionResults2020 #Election2020",FALSE,0,NA,2020-11-05T19:46:51Z,FALSE,NA,1324438046360612865,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",djkcomp60,1533,TRUE,FALSE,NA,NA
RT @DineshDSouza: No Republican who is absent or sitting on the sidelines now has any chance whatever to be in a leadership position in the…,FALSE,0,NA,2020-11-05T19:46:51Z,FALSE,NA,1324438046289338372,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Cajuncapone,1408,TRUE,FALSE,NA,NA
"RT @DrSunilKumar_: Georgia Current Senerio 

Joe - 49.3%.     2,423,595

Trum - 49.5%.  2,436,420

Difference-  12,825

#ElectionResults202…",FALSE,0,NA,2020-11-05T19:46:51Z,FALSE,NA,1324438045421047808,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",DrSunilKumar_,4,TRUE,FALSE,NA,NA
"I can say, that I voted on the right side of history. @realDonaldTrump is the villain in reality. Recognize. 💯😎… https://t.co/I4vV9w4b4P",FALSE,0,NA,2020-11-05T19:46:51Z,TRUE,NA,1324438045077114880,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",theRealDJone3,0,FALSE,FALSE,NA,NA
RT @w_terrence: I’m so damn pissed off at the senate Republicans! President Trump helped a lot of them win! We helped them win. Where are t…,FALSE,0,NA,2020-11-05T19:46:51Z,FALSE,NA,1324438044762689539,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",elizabethwhit20,1083,TRUE,FALSE,NA,NA
RT @w_terrence: I’m so damn pissed off at the senate Republicans! President Trump helped a lot of them win! We helped them win. Where are t…,FALSE,0,NA,2020-11-05T19:46:51Z,FALSE,NA,1324438044364079104,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",JosephNino9,1083,TRUE,FALSE,NA,NA
RT @w_terrence: I’m so damn pissed off at the senate Republicans! President Trump helped a lot of them win! We helped them win. Where are t…,FALSE,0,NA,2020-11-05T19:46:51Z,FALSE,NA,1324438044318072834,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ELL0100,1083,TRUE,FALSE,NA,NA
RT @DineshDSouza: No Republican who is absent or sitting on the sidelines now has any chance whatever to be in a leadership position in the…,FALSE,0,NA,2020-11-05T19:46:50Z,FALSE,NA,1324438042841501696,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",ddyzgrl7,1408,TRUE,FALSE,NA,NA
RT @w_terrence: I’m so damn pissed off at the senate Republicans! President Trump helped a lot of them win! We helped them win. Where are t…,FALSE,0,NA,2020-11-05T19:46:50Z,FALSE,NA,1324438042657042432,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",shannonsawyers2,1083,TRUE,FALSE,NA,NA
"All eyes on #GEORGIA as Trump’s lead diminishes to 12,028 votes. Lots of Democratic stronghold areas still to report.

#ElectionResults2020",FALSE,0,NA,2020-11-05T19:46:50Z,FALSE,NA,1324438041860083713,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",thebluealaskan,0,FALSE,FALSE,NA,NA
"RT @AndrewGreene864: 1. Large-scale Voter fraud is a myth. Evidence of such has never existed. 
2. Counting the votes is something we’ve al…",FALSE,0,NA,2020-11-05T19:46:50Z,FALSE,NA,1324438040778055684,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",IM3rdEye,9,TRUE,FALSE,NA,NA
"RT @whereismyvote_: There's a threat far worse than the pandemic. While the USA was busy with #ElectionResults2020, European citizens are q…",FALSE,0,NA,2020-11-05T19:46:49Z,FALSE,NA,1324438038739640326,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Irina2104Irina,978,TRUE,FALSE,NA,NA
@jackmirkinson What she said was absolutely correct. #ElectionResults2020 #Democrat @TheDemocrats #clairemccaskill,FALSE,0,jackmirkinson,2020-11-05T19:46:49Z,FALSE,1324377476336881664,1324438038596841473,193462725,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",duganguy08,0,FALSE,FALSE,NA,NA
RT @DineshDSouza: No Republican who is absent or sitting on the sidelines now has any chance whatever to be in a leadership position in the…,FALSE,0,NA,2020-11-05T19:46:49Z,FALSE,NA,1324438038433329152,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",buidaniel90,1408,TRUE,FALSE,NA,NA
"RT @HKrassenstein: BREAKING:  Donald Trump just sent a text message to his supporters, seemingly calling for violence, saying: 

 ""I need y…",FALSE,0,NA,2020-11-05T19:46:49Z,FALSE,NA,1324438037091229701,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Deedee_2004,3197,TRUE,FALSE,NA,NA
"RT @OxfordDiplomat: John McCain’s concession speech from the 2008 election. Listen when the crowd “boos” Obama, he says stop and settles th…",FALSE,0,NA,2020-11-05T19:46:49Z,FALSE,NA,1324438036357255171,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",stevenCstevenC,6364,TRUE,FALSE,NA,NA
"RT @maddenifico: This is how the Irish, and the rest of the free world are responding to Trump's claims of voter fraud in Nevada, and other…",FALSE,0,NA,2020-11-05T19:46:49Z,FALSE,NA,1324438035858132992,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",the_greensheep_,423,TRUE,FALSE,NA,NA
