"","firm_name","wikipedia"
"1","ABBOTT LABORATORIES","https://en.wikipedia.org/wiki/Abbott_Laboratories"
"2","HONEYWELL INTERNATIONAL","https://en.wikipedia.org/wiki/Honeywell"
"3","AMERICAN ELECTRIC POWER","https://en.wikipedia.org/wiki/American_Electric_Power"
"4","BOEING CO","https://en.wikipedia.org/wiki/Boeing"
"5","BRISTOL-MYERS SQUIBB","https://en.wikipedia.org/wiki/Bristol-Myers_Squibb"
"6","CALERES INC","https://en.wikipedia.org/wiki/Caleres"
"7","CAMPBELL SOUP","https://en.wikipedia.org/wiki/Campbell_Soup_Company"
"8","CATERPILLAR INC","https://en.wikipedia.org/wiki/Caterpillar_Inc."
"9","CHEVRON CORP","https://en.wikipedia.org/wiki/Chevron_Corporation"
"10","COCA-COLA","https://en.wikipedia.org/wiki/Coca-Cola"
"11","COLGATE-PALMOLIVE","https://en.wikipedia.org/wiki/Colgate-Palmolive"
"12","CONSOLIDATED EDISON","https://en.wikipedia.org/wiki/Consolidated_Edison"
"13","CORNING INC","https://en.wikipedia.org/wiki/Corning_Inc."
"14","CRANE CO","https://en.wikipedia.org/wiki/Crane_Co."
"15","CUMMINS INC","https://en.wikipedia.org/wiki/Cummins"
"16","DEERE & CO","https://en.wikipedia.org/wiki/John_Deere"
"17","DTE ENERGY","https://en.wikipedia.org/wiki/DTE_Energy"
"18","DOMINION ENERGY","https://en.wikipedia.org/wiki/Dominion_Energy"
"19","DOWDUPONT INC","https://en.wikipedia.org/wiki/DowDuPont"
"20","EATON CORP PLC","https://en.wikipedia.org/wiki/Eaton_Corporation"
"21","EMERSON ELECTRIC","https://en.wikipedia.org/wiki/Emerson_Electric"
"22","EXXON MOBIL","https://en.wikipedia.org/wiki/ExxonMobil"
"23","FMC CORP","https://en.wikipedia.org/wiki/FMC_Corporation"
"24","FORD MOTOR","https://en.wikipedia.org/wiki/Ford_Motor_Company"
"25","GENERAL DYNAMICS","https://en.wikipedia.org/wiki/General_Dynamics"
"26","GENERAL ELECTRIC","https://en.wikipedia.org/wiki/General_Electric"
"27","SPX CORP","https://en.wikipedia.org/wiki/SPX_Corporation"
"28","GOODYEAR TIRE & RUBBER","https://en.wikipedia.org/wiki/Goodyear_Tire_and_Rubber_Company"
"29","HALLIBURTON CO","https://en.wikipedia.org/wiki/Halliburton"
"30","HERSHEY CO","https://en.wikipedia.org/wiki/The_Hershey_Company"
"31","ITT INC","https://en.wikipedia.org/wiki/ITT_Inc."
"32","INTERNATIONAL BUSINESS MACHINES","https://en.wikipedia.org/wiki/IBM"
"33","INTERNATIONAL PAPER","https://en.wikipedia.org/wiki/International_Paper"
"34","KELLOGG CO","https://en.wikipedia.org/wiki/Kellogg's"
"35","KIMBERLY-CLARK","https://en.wikipedia.org/wiki/Kimberly-Clark"
"36","KROGER CO","https://en.wikipedia.org/wiki/Kroger"
"37","S&P GLOBAL","https://en.wikipedia.org/wiki/S%26P_Global"
"38","CVS HEALTH","https://en.wikipedia.org/wiki/CVS_Health"
"39","MERCK & CO","https://en.wikipedia.org/wiki/Merck_%26_Co."
"40","ENTERGY CORP","https://en.wikipedia.org/wiki/Entergy"
"41","3M CO","https://en.wikipedia.org/wiki/3M"
"42","MOTOROLA SOLUTIONS","https://en.wikipedia.org/wiki/Motorola_Solutions"
"43","NORFOLK SOUTHERN","https://en.wikipedia.org/wiki/Norfolk_Southern_Railway"
"44","XCEL ENERGY","https://en.wikipedia.org/wiki/Xcel_Energy"
"45","FIRSTENERGY CORP","https://en.wikipedia.org/wiki/FirstEnergy"
"46","ONEOK INC","https://en.wikipedia.org/wiki/Oneok"
"47","PPG INDUSTRIES","https://en.wikipedia.org/wiki/PPG_Industries"
"48","PG&E","https://en.wikipedia.org/wiki/Pacific_Gas_and_Electric_Company"
"49","SEMPRA ENERGY","https://en.wikipedia.org/wiki/Sempra_Energy"
"50","PENNEY CO","https://en.wikipedia.org/wiki/J._C._Penney"
"51","PEPSICO INC","https://en.wikipedia.org/wiki/PepsiCo"
"52","PFIZER INC","https://en.wikipedia.org/wiki/Pfizer"
"53","EXELON CORP","https://en.wikipedia.org/wiki/Exelon"
"54","ALTRIA GROUP","https://en.wikipedia.org/wiki/Altria"
"55","CONOCOPHILLIPS","https://en.wikipedia.org/wiki/ConocoPhillips"
"56","PITNEY BOWES","https://en.wikipedia.org/wiki/Pitney_Bowes"
"57","PROCTER & GAMBLE","https://en.wikipedia.org/wiki/Procter_%26_Gamble"
"58","PUBLIC SERVICE ENTRP GROUP","https://en.wikipedia.org/wiki/Public_Service_Enterprise_Group"
"59","RAYTHEON CO","https://en.wikipedia.org/wiki/Raytheon"
"60","ROCKWELL AUTOMATION","https://en.wikipedia.org/wiki/Rockwell_Automation"
"61","SCHLUMBERGER LTD","https://en.wikipedia.org/wiki/Schlumberger"
"62","SHERWIN-WILLIAMS","https://en.wikipedia.org/wiki/Sherwin-Williams"
"63","EDISON INTERNATIONAL","https://en.wikipedia.org/wiki/Edison_International"
"64","SOUTHERN CO","https://en.wikipedia.org/wiki/Southern_Company"
"65","TEXAS INSTRUMENTS","https://en.wikipedia.org/wiki/Texas_Instruments"
"66","TIMKEN CO","https://en.wikipedia.org/wiki/Timken_Company"
"67","UNION PACIFIC","https://en.wikipedia.org/wiki/Union_Pacific_Railroad"
"68","UNITED TECHNOLOGIES","https://en.wikipedia.org/wiki/United_Technologies"
"69","WEYERHAEUSER CO","https://en.wikipedia.org/wiki/Weyerhaeuser"
