year,week,tweets,date,classifier
2019,49,15,2019-12-05,"All, COVID19 hate terms"
2019,50,8,2019-12-10,"All, COVID19 hate terms"
2019,51,7,2019-12-17,"All, COVID19 hate terms"
2019,52,14,2019-12-26,"All, COVID19 hate terms"
2019,53,5,2019-12-31,"All, COVID19 hate terms"
2020,1,354,2020-01-01,"All, COVID19 hate terms"
2020,2,4222,2020-01-08,"All, COVID19 hate terms"
2020,3,66510,2020-01-15,"All, COVID19 hate terms"
2020,4,539607,2020-01-22,"All, COVID19 hate terms"
2020,5,427957,2020-01-29,"All, COVID19 hate terms"
2020,6,196500,2020-02-05,"All, COVID19 hate terms"
2020,7,123625,2020-02-12,"All, COVID19 hate terms"
2020,8,72845,2020-02-19,"All, COVID19 hate terms"
2020,9,75846,2020-02-26,"All, COVID19 hate terms"
2020,10,237095,2020-03-04,"All, COVID19 hate terms"
2020,11,1174804,2020-03-11,"All, COVID19 hate terms"
2020,12,2376175,2020-03-18,"All, COVID19 hate terms"
2020,13,985897,2020-03-25,"All, COVID19 hate terms"
2020,14,506943,2020-04-01,"All, COVID19 hate terms"
2020,15,497415,2020-04-08,"All, COVID19 hate terms"
2020,16,381252,2020-04-15,"All, COVID19 hate terms"
2020,17,215626,2020-04-22,"All, COVID19 hate terms"
2020,18,184135,2020-04-29,"All, COVID19 hate terms"
2020,19,172769,2020-05-06,"All, COVID19 hate terms"
2020,20,140824,2020-05-13,"All, COVID19 hate terms"
2020,21,182679,2020-05-20,"All, COVID19 hate terms"
2020,22,459847,2020-05-27,"All, COVID19 hate terms"
2020,23,59934,2020-06-03,"All, COVID19 hate terms"
2020,24,51815,2020-06-10,"All, COVID19 hate terms"
2020,25,307691,2020-06-17,"All, COVID19 hate terms"
2020,26,294053,2020-06-24,"All, COVID19 hate terms"
2020,27,217648,2020-07-01,"All, COVID19 hate terms"
2020,28,93962,2020-07-08,"All, COVID19 hate terms"
2020,29,159703,2020-07-15,"All, COVID19 hate terms"
2020,30,178041,2020-07-22,"All, COVID19 hate terms"
2020,31,104701,2020-07-29,"All, COVID19 hate terms"
2020,32,101147,2020-08-05,"All, COVID19 hate terms"
2020,33,79684,2020-08-12,"All, COVID19 hate terms"
2020,34,131119,2020-08-19,"All, COVID19 hate terms"
2020,35,97315,2020-08-26,"All, COVID19 hate terms"
2020,36,81707,2020-09-02,"All, COVID19 hate terms"
2020,37,83506,2020-09-09,"All, COVID19 hate terms"
2020,38,101658,2020-09-16,"All, COVID19 hate terms"
2020,39,67336,2020-09-23,"All, COVID19 hate terms"
2020,40,358247,2020-09-30,"All, COVID19 hate terms"
2020,41,97842,2020-10-07,"All, COVID19 hate terms"
2020,42,59450,2020-10-14,"All, COVID19 hate terms"
2020,43,54587,2020-10-21,"All, COVID19 hate terms"
2020,44,52258,2020-10-28,"All, COVID19 hate terms"
2020,45,56064,2020-11-04,"All, COVID19 hate terms"
2020,46,55406,2020-11-11,"All, COVID19 hate terms"
2020,47,47803,2020-11-18,"All, COVID19 hate terms"
2020,48,36761,2020-11-25,"All, COVID19 hate terms"
2020,49,70794,2020-12-02,"All, COVID19 hate terms"
2020,50,37954,2020-12-09,"All, COVID19 hate terms"
2020,51,60623,2020-12-16,"All, COVID19 hate terms"
2020,52,79314,2020-12-23,"All, COVID19 hate terms"
2020,53,30369,2020-12-30,"All, COVID19 hate terms"
2021,1,55737,2021-01-01,"All, COVID19 hate terms"
2021,2,34879,2021-01-08,"All, COVID19 hate terms"
2021,3,73566,2021-01-15,"All, COVID19 hate terms"
2021,4,135910,2021-01-22,"All, COVID19 hate terms"
2021,5,72819,2021-01-29,"All, COVID19 hate terms"
2021,6,58552,2021-02-05,"All, COVID19 hate terms"
2021,7,40026,2021-02-12,"All, COVID19 hate terms"
2021,8,66444,2021-02-19,"All, COVID19 hate terms"
2021,9,58781,2021-02-26,"All, COVID19 hate terms"
2021,10,53140,2021-03-05,"All, COVID19 hate terms"
2021,11,200343,2021-03-12,"All, COVID19 hate terms"
2021,12,84635,2021-03-19,"All, COVID19 hate terms"
2021,13,5645,2021-03-26,"All, COVID19 hate terms"
2019,49,15,2019-12-05,Ziems-Neutral
2019,50,8,2019-12-10,Ziems-Neutral
2019,51,1,2019-12-17,Ziems-Hate
2019,51,2,2019-12-17,Ziems-Neutral
2019,51,4,2019-12-17,Ziems-Other
2019,52,14,2019-12-26,Ziems-Other
2019,53,5,2019-12-31,Ziems-Neutral
2020,1,27,2020-01-01,Ziems-Hate
2020,1,293,2020-01-01,Ziems-Neutral
2020,1,34,2020-01-01,Ziems-Other
2020,2,311,2020-01-08,Ziems-Hate
2020,2,2914,2020-01-08,Ziems-Neutral
2020,2,991,2020-01-08,Ziems-Other
2020,3,3094,2020-01-15,Ziems-Hate
2020,3,54306,2020-01-15,Ziems-Neutral
2020,3,9025,2020-01-15,Ziems-Other
2020,4,24925,2020-01-22,Ziems-Hate
2020,4,437008,2020-01-22,Ziems-Neutral
2020,4,73731,2020-01-22,Ziems-Other
2020,5,12767,2020-01-29,Ziems-Hate
2020,5,365625,2020-01-29,Ziems-Neutral
2020,5,48851,2020-01-29,Ziems-Other
2020,6,18429,2020-02-05,Ziems-Hate
2020,6,151253,2020-02-05,Ziems-Neutral
2020,6,26542,2020-02-05,Ziems-Other
2020,7,5640,2020-02-12,Ziems-Hate
2020,7,93014,2020-02-12,Ziems-Neutral
2020,7,24658,2020-02-12,Ziems-Other
2020,8,4249,2020-02-19,Ziems-Hate
2020,8,60835,2020-02-19,Ziems-Neutral
2020,8,6206,2020-02-19,Ziems-Other
2020,9,3400,2020-02-26,Ziems-Hate
2020,9,58254,2020-02-26,Ziems-Neutral
2020,9,12905,2020-02-26,Ziems-Other
2020,10,26444,2020-03-04,Ziems-Hate
2020,10,138935,2020-03-04,Ziems-Neutral
2020,10,56572,2020-03-04,Ziems-Other
2020,11,198644,2020-03-11,Ziems-Hate
2020,11,636666,2020-03-11,Ziems-Neutral
2020,11,294876,2020-03-11,Ziems-Other
2020,12,322525,2020-03-18,Ziems-Hate
2020,12,1270193,2020-03-18,Ziems-Neutral
2020,12,665553,2020-03-18,Ziems-Other
2020,13,169733,2020-03-25,Ziems-Hate
2020,13,532717,2020-03-25,Ziems-Neutral
2020,13,265948,2020-03-25,Ziems-Other
2020,14,67889,2020-04-01,Ziems-Hate
2020,14,323282,2020-04-01,Ziems-Neutral
2020,14,108782,2020-04-01,Ziems-Other
2020,15,64586,2020-04-08,Ziems-Hate
2020,15,288447,2020-04-08,Ziems-Neutral
2020,15,138683,2020-04-08,Ziems-Other
2020,16,55163,2020-04-15,Ziems-Hate
2020,16,211102,2020-04-15,Ziems-Neutral
2020,16,109446,2020-04-15,Ziems-Other
2020,17,27164,2020-04-22,Ziems-Hate
2020,17,141387,2020-04-22,Ziems-Neutral
2020,17,45047,2020-04-22,Ziems-Other
2020,18,23202,2020-04-29,Ziems-Hate
2020,18,109891,2020-04-29,Ziems-Neutral
2020,18,49492,2020-04-29,Ziems-Other
2020,19,26059,2020-05-06,Ziems-Hate
2020,19,105955,2020-05-06,Ziems-Neutral
2020,19,36621,2020-05-06,Ziems-Other
2020,20,22705,2020-05-13,Ziems-Hate
2020,20,83943,2020-05-13,Ziems-Neutral
2020,20,32685,2020-05-13,Ziems-Other
2020,21,21088,2020-05-20,Ziems-Hate
2020,21,106713,2020-05-20,Ziems-Neutral
2020,21,53276,2020-05-20,Ziems-Other
2020,22,16362,2020-05-27,Ziems-Hate
2020,22,149055,2020-05-27,Ziems-Neutral
2020,22,292970,2020-05-27,Ziems-Other
2020,23,9060,2020-06-03,Ziems-Hate
2020,23,30616,2020-06-03,Ziems-Neutral
2020,23,19659,2020-06-03,Ziems-Other
2020,24,10286,2020-06-10,Ziems-Hate
2020,24,28215,2020-06-10,Ziems-Neutral
2020,24,12847,2020-06-10,Ziems-Other
2020,25,29782,2020-06-17,Ziems-Hate
2020,25,225997,2020-06-17,Ziems-Neutral
2020,25,47233,2020-06-17,Ziems-Other
2020,26,16400,2020-06-24,Ziems-Hate
2020,26,152056,2020-06-24,Ziems-Neutral
2020,26,104548,2020-06-24,Ziems-Other
2020,27,19363,2020-07-01,Ziems-Hate
2020,27,102466,2020-07-01,Ziems-Neutral
2020,27,91663,2020-07-01,Ziems-Other
2020,28,16368,2020-07-08,Ziems-Hate
2020,28,52721,2020-07-08,Ziems-Neutral
2020,28,23273,2020-07-08,Ziems-Other
2020,29,23670,2020-07-15,Ziems-Hate
2020,29,77512,2020-07-15,Ziems-Neutral
2020,29,51993,2020-07-15,Ziems-Other
2020,30,22351,2020-07-22,Ziems-Hate
2020,30,109624,2020-07-22,Ziems-Neutral
2020,30,43039,2020-07-22,Ziems-Other
2020,31,14127,2020-07-29,Ziems-Hate
2020,31,62650,2020-07-29,Ziems-Neutral
2020,31,25554,2020-07-29,Ziems-Other
2020,32,8727,2020-08-05,Ziems-Hate
2020,32,60853,2020-08-05,Ziems-Neutral
2020,32,30130,2020-08-05,Ziems-Other
2020,33,8876,2020-08-12,Ziems-Hate
2020,33,50273,2020-08-12,Ziems-Neutral
2020,33,19550,2020-08-12,Ziems-Other
2020,34,13454,2020-08-19,Ziems-Hate
2020,34,82537,2020-08-19,Ziems-Neutral
2020,34,33561,2020-08-19,Ziems-Other
2020,35,8173,2020-08-26,Ziems-Hate
2020,35,35560,2020-08-26,Ziems-Neutral
2020,35,52857,2020-08-26,Ziems-Other
2020,36,9951,2020-09-02,Ziems-Hate
2020,36,49301,2020-09-02,Ziems-Neutral
2020,36,21354,2020-09-02,Ziems-Other
2020,37,13506,2020-09-09,Ziems-Hate
2020,37,50142,2020-09-09,Ziems-Neutral
2020,37,19075,2020-09-09,Ziems-Other
2020,38,13476,2020-09-16,Ziems-Hate
2020,38,45180,2020-09-16,Ziems-Neutral
2020,38,41657,2020-09-16,Ziems-Other
2020,39,13668,2020-09-23,Ziems-Hate
2020,39,30408,2020-09-23,Ziems-Neutral
2020,39,22741,2020-09-23,Ziems-Other
2020,40,22408,2020-09-30,Ziems-Hate
2020,40,271992,2020-09-30,Ziems-Neutral
2020,40,61434,2020-09-30,Ziems-Other
2020,41,10577,2020-10-07,Ziems-Hate
2020,41,57984,2020-10-07,Ziems-Neutral
2020,41,28238,2020-10-07,Ziems-Other
2020,42,7152,2020-10-14,Ziems-Hate
2020,42,33873,2020-10-14,Ziems-Neutral
2020,42,17880,2020-10-14,Ziems-Other
2020,43,6313,2020-10-21,Ziems-Hate
2020,43,31215,2020-10-21,Ziems-Neutral
2020,43,16455,2020-10-21,Ziems-Other
2020,44,5809,2020-10-28,Ziems-Hate
2020,44,26677,2020-10-28,Ziems-Neutral
2020,44,18285,2020-10-28,Ziems-Other
2020,45,6204,2020-11-04,Ziems-Hate
2020,45,28717,2020-11-04,Ziems-Neutral
2020,45,19717,2020-11-04,Ziems-Other
