year,month,tweets,keywords,date,All
2008,1,42,All AAPI hate terms,2008-01-01,All AAPI Hate Terms
2008,2,61,All AAPI hate terms,2008-02-01,All AAPI Hate Terms
2008,3,75,All AAPI hate terms,2008-03-01,All AAPI Hate Terms
2008,4,143,All AAPI hate terms,2008-04-01,All AAPI Hate Terms
2008,5,163,All AAPI hate terms,2008-05-01,All AAPI Hate Terms
2008,6,183,All AAPI hate terms,2008-06-01,All AAPI Hate Terms
2008,7,223,All AAPI hate terms,2008-07-01,All AAPI Hate Terms
2008,8,363,All AAPI hate terms,2008-08-01,All AAPI Hate Terms
2008,9,241,All AAPI hate terms,2008-09-01,All AAPI Hate Terms
2008,10,250,All AAPI hate terms,2008-10-01,All AAPI Hate Terms
2008,11,276,All AAPI hate terms,2008-11-01,All AAPI Hate Terms
2008,12,319,All AAPI hate terms,2008-12-01,All AAPI Hate Terms
2009,1,453,All AAPI hate terms,2009-01-01,All AAPI Hate Terms
2009,2,740,All AAPI hate terms,2009-02-01,All AAPI Hate Terms
2009,3,1329,All AAPI hate terms,2009-03-01,All AAPI Hate Terms
2009,4,2113,All AAPI hate terms,2009-04-01,All AAPI Hate Terms
2009,5,3246,All AAPI hate terms,2009-05-01,All AAPI Hate Terms
2009,6,4387,All AAPI hate terms,2009-06-01,All AAPI Hate Terms
2009,7,6195,All AAPI hate terms,2009-07-01,All AAPI Hate Terms
2009,8,6636,All AAPI hate terms,2009-08-01,All AAPI Hate Terms
2009,9,7257,All AAPI hate terms,2009-09-01,All AAPI Hate Terms
2009,10,9318,All AAPI hate terms,2009-10-01,All AAPI Hate Terms
2009,11,10725,All AAPI hate terms,2009-11-01,All AAPI Hate Terms
2009,12,12573,All AAPI hate terms,2009-12-01,All AAPI Hate Terms
2010,1,14561,All AAPI hate terms,2010-01-01,All AAPI Hate Terms
2010,2,19893,All AAPI hate terms,2010-02-01,All AAPI Hate Terms
2010,3,25566,All AAPI hate terms,2010-03-01,All AAPI Hate Terms
2010,4,27584,All AAPI hate terms,2010-04-01,All AAPI Hate Terms
2010,5,24295,All AAPI hate terms,2010-05-01,All AAPI Hate Terms
2010,6,27760,All AAPI hate terms,2010-06-01,All AAPI Hate Terms
2010,7,28494,All AAPI hate terms,2010-07-01,All AAPI Hate Terms
2010,8,26854,All AAPI hate terms,2010-08-01,All AAPI Hate Terms
2010,9,27288,All AAPI hate terms,2010-09-01,All AAPI Hate Terms
2010,10,30085,All AAPI hate terms,2010-10-01,All AAPI Hate Terms
2010,11,29522,All AAPI hate terms,2010-11-01,All AAPI Hate Terms
2010,12,37197,All AAPI hate terms,2010-12-01,All AAPI Hate Terms
2011,1,49614,All AAPI hate terms,2011-01-01,All AAPI Hate Terms
2011,2,40769,All AAPI hate terms,2011-02-01,All AAPI Hate Terms
2011,3,52541,All AAPI hate terms,2011-03-01,All AAPI Hate Terms
2011,4,50863,All AAPI hate terms,2011-04-01,All AAPI Hate Terms
2011,5,56048,All AAPI hate terms,2011-05-01,All AAPI Hate Terms
2011,6,63722,All AAPI hate terms,2011-06-01,All AAPI Hate Terms
2011,7,74002,All AAPI hate terms,2011-07-01,All AAPI Hate Terms
2011,8,79569,All AAPI hate terms,2011-08-01,All AAPI Hate Terms
2011,9,76627,All AAPI hate terms,2011-09-01,All AAPI Hate Terms
2011,10,83593,All AAPI hate terms,2011-10-01,All AAPI Hate Terms
2011,11,97362,All AAPI hate terms,2011-11-01,All AAPI Hate Terms
2011,12,113732,All AAPI hate terms,2011-12-01,All AAPI Hate Terms
2012,1,132763,All AAPI hate terms,2012-01-01,All AAPI Hate Terms
2012,2,158591,All AAPI hate terms,2012-02-01,All AAPI Hate Terms
2012,3,135885,All AAPI hate terms,2012-03-01,All AAPI Hate Terms
2012,4,132541,All AAPI hate terms,2012-04-01,All AAPI Hate Terms
2012,5,150253,All AAPI hate terms,2012-05-01,All AAPI Hate Terms
2012,6,150314,All AAPI hate terms,2012-06-01,All AAPI Hate Terms
2012,7,161732,All AAPI hate terms,2012-07-01,All AAPI Hate Terms
2012,8,152642,All AAPI hate terms,2012-08-01,All AAPI Hate Terms
2012,9,128679,All AAPI hate terms,2012-09-01,All AAPI Hate Terms
2012,10,122740,All AAPI hate terms,2012-10-01,All AAPI Hate Terms
2012,11,123676,All AAPI hate terms,2012-11-01,All AAPI Hate Terms
2012,12,130854,All AAPI hate terms,2012-12-01,All AAPI Hate Terms
2013,1,129612,All AAPI hate terms,2013-01-01,All AAPI Hate Terms
2013,2,119045,All AAPI hate terms,2013-02-01,All AAPI Hate Terms
2013,3,128886,All AAPI hate terms,2013-03-01,All AAPI Hate Terms
2013,4,125272,All AAPI hate terms,2013-04-01,All AAPI Hate Terms
2013,5,119553,All AAPI hate terms,2013-05-01,All AAPI Hate Terms
2013,6,119446,All AAPI hate terms,2013-06-01,All AAPI Hate Terms
2013,7,139857,All AAPI hate terms,2013-07-01,All AAPI Hate Terms
2013,8,137746,All AAPI hate terms,2013-08-01,All AAPI Hate Terms
2013,9,126436,All AAPI hate terms,2013-09-01,All AAPI Hate Terms
2013,10,126211,All AAPI hate terms,2013-10-01,All AAPI Hate Terms
2013,11,136321,All AAPI hate terms,2013-11-01,All AAPI Hate Terms
2013,12,132227,All AAPI hate terms,2013-12-01,All AAPI Hate Terms
2014,1,138994,All AAPI hate terms,2014-01-01,All AAPI Hate Terms
2014,2,142127,All AAPI hate terms,2014-02-01,All AAPI Hate Terms
2014,3,138444,All AAPI hate terms,2014-03-01,All AAPI Hate Terms
2014,4,123343,All AAPI hate terms,2014-04-01,All AAPI Hate Terms
2014,5,123440,All AAPI hate terms,2014-05-01,All AAPI Hate Terms
2014,6,163767,All AAPI hate terms,2014-06-01,All AAPI Hate Terms
2014,7,167557,All AAPI hate terms,2014-07-01,All AAPI Hate Terms
2014,8,135771,All AAPI hate terms,2014-08-01,All AAPI Hate Terms
2014,9,120231,All AAPI hate terms,2014-09-01,All AAPI Hate Terms
2014,10,91271,All AAPI hate terms,2014-10-01,All AAPI Hate Terms
2014,11,80320,All AAPI hate terms,2014-11-01,All AAPI Hate Terms
2014,12,101135,All AAPI hate terms,2014-12-01,All AAPI Hate Terms
2015,1,103838,All AAPI hate terms,2015-01-01,All AAPI Hate Terms
2015,2,75700,All AAPI hate terms,2015-02-01,All AAPI Hate Terms
2015,3,84918,All AAPI hate terms,2015-03-01,All AAPI Hate Terms
2015,4,59273,All AAPI hate terms,2015-04-01,All AAPI Hate Terms
2015,5,60858,All AAPI hate terms,2015-05-01,All AAPI Hate Terms
2015,6,96273,All AAPI hate terms,2015-06-01,All AAPI Hate Terms
2015,7,86367,All AAPI hate terms,2015-07-01,All AAPI Hate Terms
2015,8,70730,All AAPI hate terms,2015-08-01,All AAPI Hate Terms
2015,9,56274,All AAPI hate terms,2015-09-01,All AAPI Hate Terms
2015,10,79506,All AAPI hate terms,2015-10-01,All AAPI Hate Terms
2015,11,71475,All AAPI hate terms,2015-11-01,All AAPI Hate Terms
2015,12,57207,All AAPI hate terms,2015-12-01,All AAPI Hate Terms
2016,1,63529,All AAPI hate terms,2016-01-01,All AAPI Hate Terms
2016,2,67794,All AAPI hate terms,2016-02-01,All AAPI Hate Terms
2016,3,59236,All AAPI hate terms,2016-03-01,All AAPI Hate Terms
2016,4,56887,All AAPI hate terms,2016-04-01,All AAPI Hate Terms
2016,5,67767,All AAPI hate terms,2016-05-01,All AAPI Hate Terms
2016,6,73139,All AAPI hate terms,2016-06-01,All AAPI Hate Terms
2016,7,54320,All AAPI hate terms,2016-07-01,All AAPI Hate Terms
2016,8,57172,All AAPI hate terms,2016-08-01,All AAPI Hate Terms
2016,9,51998,All AAPI hate terms,2016-09-01,All AAPI Hate Terms
2016,10,54963,All AAPI hate terms,2016-10-01,All AAPI Hate Terms
2016,11,51919,All AAPI hate terms,2016-11-01,All AAPI Hate Terms
2016,12,52953,All AAPI hate terms,2016-12-01,All AAPI Hate Terms
2017,1,53224,All AAPI hate terms,2017-01-01,All AAPI Hate Terms
2017,2,46171,All AAPI hate terms,2017-02-01,All AAPI Hate Terms
2017,3,53325,All AAPI hate terms,2017-03-01,All AAPI Hate Terms
2017,4,42249,All AAPI hate terms,2017-04-01,All AAPI Hate Terms
2017,5,39526,All AAPI hate terms,2017-05-01,All AAPI Hate Terms
2017,6,43614,All AAPI hate terms,2017-06-01,All AAPI Hate Terms
2017,7,44491,All AAPI hate terms,2017-07-01,All AAPI Hate Terms
2017,8,55224,All AAPI hate terms,2017-08-01,All AAPI Hate Terms
2017,9,37863,All AAPI hate terms,2017-09-01,All AAPI Hate Terms
2017,10,36222,All AAPI hate terms,2017-10-01,All AAPI Hate Terms
2017,11,69359,All AAPI hate terms,2017-11-01,All AAPI Hate Terms
2017,12,52913,All AAPI hate terms,2017-12-01,All AAPI Hate Terms
2018,1,64822,All AAPI hate terms,2018-01-01,All AAPI Hate Terms
2018,2,72504,All AAPI hate terms,2018-02-01,All AAPI Hate Terms
2018,3,82146,All AAPI hate terms,2018-03-01,All AAPI Hate Terms
2018,4,48510,All AAPI hate terms,2018-04-01,All AAPI Hate Terms
2018,5,124153,All AAPI hate terms,2018-05-01,All AAPI Hate Terms
2018,6,66159,All AAPI hate terms,2018-06-01,All AAPI Hate Terms
2018,7,66935,All AAPI hate terms,2018-07-01,All AAPI Hate Terms
2018,8,99681,All AAPI hate terms,2018-08-01,All AAPI Hate Terms
2018,9,49164,All AAPI hate terms,2018-09-01,All AAPI Hate Terms
2018,10,78335,All AAPI hate terms,2018-10-01,All AAPI Hate Terms
2018,11,64540,All AAPI hate terms,2018-11-01,All AAPI Hate Terms
2018,12,62767,All AAPI hate terms,2018-12-01,All AAPI Hate Terms
2019,1,87961,All AAPI hate terms,2019-01-01,All AAPI Hate Terms
2019,2,109570,All AAPI hate terms,2019-02-01,All AAPI Hate Terms
2019,3,219521,All AAPI hate terms,2019-03-01,All AAPI Hate Terms
2019,4,77833,All AAPI hate terms,2019-04-01,All AAPI Hate Terms
2019,5,94311,All AAPI hate terms,2019-05-01,All AAPI Hate Terms
2019,6,64229,All AAPI hate terms,2019-06-01,All AAPI Hate Terms
2019,7,86120,All AAPI hate terms,2019-07-01,All AAPI Hate Terms
2019,8,115111,All AAPI hate terms,2019-08-01,All AAPI Hate Terms
2019,9,138538,All AAPI hate terms,2019-09-01,All AAPI Hate Terms
2019,10,151316,All AAPI hate terms,2019-10-01,All AAPI Hate Terms
2019,11,108506,All AAPI hate terms,2019-11-01,All AAPI Hate Terms
2019,12,167727,All AAPI hate terms,2019-12-01,All AAPI Hate Terms
2020,1,172140,All AAPI hate terms,2020-01-01,All AAPI Hate Terms
2020,2,127499,All AAPI hate terms,2020-02-01,All AAPI Hate Terms
2020,3,228376,All AAPI hate terms,2020-03-01,All AAPI Hate Terms
2020,4,235272,All AAPI hate terms,2020-04-01,All AAPI Hate Terms
2020,5,212753,All AAPI hate terms,2020-05-01,All AAPI Hate Terms
2020,6,308132,All AAPI hate terms,2020-06-01,All AAPI Hate Terms
2020,7,259943,All AAPI hate terms,2020-07-01,All AAPI Hate Terms
2020,8,169647,All AAPI hate terms,2020-08-01,All AAPI Hate Terms
2020,9,204506,All AAPI hate terms,2020-09-01,All AAPI Hate Terms
2020,10,183532,All AAPI hate terms,2020-10-01,All AAPI Hate Terms
2020,11,187364,All AAPI hate terms,2020-11-01,All AAPI Hate Terms
2020,12,178387,All AAPI hate terms,2020-12-01,All AAPI Hate Terms
2008,1,1,Ching chong,2008-01-01,Specific Terms
2008,2,3,Ching chong,2008-02-01,Specific Terms
2008,3,0,Ching chong,2008-03-01,Specific Terms
2008,4,11,Ching chong,2008-04-01,Specific Terms
2008,5,7,Ching chong,2008-05-01,Specific Terms
2008,6,4,Ching chong,2008-06-01,Specific Terms
2008,7,12,Ching chong,2008-07-01,Specific Terms
2008,8,11,Ching chong,2008-08-01,Specific Terms
2008,9,13,Ching chong,2008-09-01,Specific Terms
2008,10,9,Ching chong,2008-10-01,Specific Terms
2008,11,15,Ching chong,2008-11-01,Specific Terms
2008,12,14,Ching chong,2008-12-01,Specific Terms
2009,1,42,Ching chong,2009-01-01,Specific Terms
2009,2,37,Ching chong,2009-02-01,Specific Terms
2009,3,61,Ching chong,2009-03-01,Specific Terms
2009,4,95,Ching chong,2009-04-01,Specific Terms
2009,5,93,Ching chong,2009-05-01,Specific Terms
2009,6,159,Ching chong,2009-06-01,Specific Terms
2009,7,228,Ching chong,2009-07-01,Specific Terms
2009,8,205,Ching chong,2009-08-01,Specific Terms
2009,9,303,Ching chong,2009-09-01,Specific Terms
2009,10,326,Ching chong,2009-10-01,Specific Terms
2009,11,351,Ching chong,2009-11-01,Specific Terms
2009,12,511,Ching chong,2009-12-01,Specific Terms
2010,1,510,Ching chong,2010-01-01,Specific Terms
2010,2,548,Ching chong,2010-02-01,Specific Terms
2010,3,689,Ching chong,2010-03-01,Specific Terms
2010,4,580,Ching chong,2010-04-01,Specific Terms
2010,5,589,Ching chong,2010-05-01,Specific Terms
2010,6,657,Ching chong,2010-06-01,Specific Terms
2010,7,673,Ching chong,2010-07-01,Specific Terms
2010,8,691,Ching chong,2010-08-01,Specific Terms
2010,9,717,Ching chong,2010-09-01,Specific Terms
2010,10,779,Ching chong,2010-10-01,Specific Terms
2010,11,855,Ching chong,2010-11-01,Specific Terms
2010,12,949,Ching chong,2010-12-01,Specific Terms
2011,1,1593,Ching chong,2011-01-01,Specific Terms
2011,2,1234,Ching chong,2011-02-01,Specific Terms
2011,3,5741,Ching chong,2011-03-01,Specific Terms
2011,4,2691,Ching chong,2011-04-01,Specific Terms
2011,5,2534,Ching chong,2011-05-01,Specific Terms
2011,6,3273,Ching chong,2011-06-01,Specific Terms
2011,7,2922,Ching chong,2011-07-01,Specific Terms
2011,8,3444,Ching chong,2011-08-01,Specific Terms
2011,9,2802,Ching chong,2011-09-01,Specific Terms
2011,10,3213,Ching chong,2011-10-01,Specific Terms
2011,11,3040,Ching chong,2011-11-01,Specific Terms
2011,12,4185,Ching chong,2011-12-01,Specific Terms
2012,1,5068,Ching chong,2012-01-01,Specific Terms
2012,2,5736,Ching chong,2012-02-01,Specific Terms
2012,3,4500,Ching chong,2012-03-01,Specific Terms
2012,4,5400,Ching chong,2012-04-01,Specific Terms
2012,5,5320,Ching chong,2012-05-01,Specific Terms
2012,6,5382,Ching chong,2012-06-01,Specific Terms
2012,7,6996,Ching chong,2012-07-01,Specific Terms
2012,8,6808,Ching chong,2012-08-01,Specific Terms
2012,9,5718,Ching chong,2012-09-01,Specific Terms
2012,10,5516,Ching chong,2012-10-01,Specific Terms
2012,11,5344,Ching chong,2012-11-01,Specific Terms
2012,12,5934,Ching chong,2012-12-01,Specific Terms
2013,1,7187,Ching chong,2013-01-01,Specific Terms
2013,2,5892,Ching chong,2013-02-01,Specific Terms
2013,3,6617,Ching chong,2013-03-01,Specific Terms
2013,4,7319,Ching chong,2013-04-01,Specific Terms
2013,5,5650,Ching chong,2013-05-01,Specific Terms
2013,6,5814,Ching chong,2013-06-01,Specific Terms
2013,7,6074,Ching chong,2013-07-01,Specific Terms
2013,8,6973,Ching chong,2013-08-01,Specific Terms
2013,9,5951,Ching chong,2013-09-01,Specific Terms
2013,10,4949,Ching chong,2013-10-01,Specific Terms
2013,11,17702,Ching chong,2013-11-01,Specific Terms
2013,12,6584,Ching chong,2013-12-01,Specific Terms
2014,1,6591,Ching chong,2014-01-01,Specific Terms
2014,2,4320,Ching chong,2014-02-01,Specific Terms
2014,3,6724,Ching chong,2014-03-01,Specific Terms
2014,4,6188,Ching chong,2014-04-01,Specific Terms
