year,week,tweets,date
2018,1,5627,2018-01-01
2018,2,9745,2018-01-08
2018,3,5206,2018-01-15
2018,4,4840,2018-01-22
2018,5,3590,2018-01-29
2018,6,6900,2018-02-05
2018,7,3637,2018-02-12
2018,8,42769,2018-02-19
2018,9,2956,2018-02-26
2018,10,5107,2018-03-05
2018,11,4352,2018-03-12
2018,12,21528,2018-03-19
2018,13,5785,2018-03-26
2018,14,5069,2018-04-02
2018,15,4913,2018-04-09
2018,16,4647,2018-04-16
2018,17,5073,2018-04-23
2018,18,6144,2018-04-30
2018,19,7509,2018-05-07
2018,20,9515,2018-05-14
2018,21,6772,2018-05-21
2018,22,19338,2018-05-28
2018,23,3343,2018-06-04
2018,24,4441,2018-06-11
2018,25,4904,2018-06-18
2018,26,19644,2018-06-25
2018,27,4427,2018-07-02
2018,28,5148,2018-07-09
2018,29,7461,2018-07-16
2018,30,21875,2018-07-23
2018,31,11072,2018-07-30
2018,32,5712,2018-08-06
2018,33,4134,2018-08-13
2018,34,5821,2018-08-20
2018,35,5267,2018-08-27
2018,36,5204,2018-09-03
2018,37,4870,2018-09-10
2018,38,3697,2018-09-17
2018,39,4398,2018-09-24
2018,40,3531,2018-10-01
2018,41,3592,2018-10-08
2018,42,5218,2018-10-15
2018,43,11082,2018-10-22
2018,44,10218,2018-10-29
2018,45,5839,2018-11-05
2018,46,4474,2018-11-12
2018,47,6582,2018-11-19
2018,48,8166,2018-11-26
2018,49,6855,2018-12-03
2018,50,15088,2018-12-10
2018,51,3330,2018-12-17
2018,52,24176,2018-12-24
2018,53,438,2018-12-31
2019,1,3284,2019-01-01
2019,2,4412,2019-01-08
2019,3,6965,2019-01-15
2019,4,5942,2019-01-22
2019,5,5172,2019-01-29
2019,6,4672,2019-02-05
2019,7,6458,2019-02-12
2019,8,5274,2019-02-19
2019,9,4472,2019-02-26
2019,10,11082,2019-03-05
2019,11,17762,2019-03-12
2019,12,23029,2019-03-19
2019,13,6144,2019-03-26
2019,14,34613,2019-04-02
2019,15,9246,2019-04-09
2019,16,5121,2019-04-16
2019,17,9148,2019-04-23
2019,18,11793,2019-04-30
2019,19,7839,2019-05-07
2019,20,6716,2019-05-14
2019,21,4434,2019-05-21
2019,22,6886,2019-05-28
2019,23,4244,2019-06-04
2019,24,4740,2019-06-11
2019,25,4223,2019-06-18
2019,26,4555,2019-06-25
2019,27,4298,2019-07-02
2019,28,4652,2019-07-09
2019,29,7699,2019-07-16
2019,30,4102,2019-07-23
2019,31,8457,2019-07-30
2019,32,10230,2019-08-06
2019,33,7656,2019-08-13
2019,34,35894,2019-08-20
2019,35,6721,2019-08-27
2019,36,13218,2019-09-03
2019,37,7877,2019-09-10
2019,38,6192,2019-09-17
2019,39,8660,2019-09-24
2019,40,4308,2019-10-01
2019,41,12643,2019-10-08
2019,42,12353,2019-10-15
2019,43,6097,2019-10-22
2019,44,15757,2019-10-29
2019,45,9366,2019-11-05
2019,46,9300,2019-11-12
2019,47,26328,2019-11-19
2019,48,10479,2019-11-26
2019,49,11358,2019-12-03
2019,50,19640,2019-12-10
2019,51,20655,2019-12-17
2019,52,5530,2019-12-24
2019,53,746,2019-12-31
2020,1,5562,2020-01-01
2020,2,7211,2020-01-08
2020,3,7630,2020-01-15
2020,4,13111,2020-01-22
2020,5,12529,2020-01-29
2020,6,11851,2020-02-05
2020,7,21711,2020-02-12
2020,8,9327,2020-02-19
2020,9,11168,2020-02-26
2020,10,29367,2020-03-04
2020,11,58114,2020-03-11
2020,12,146970,2020-03-18
2020,13,29576,2020-03-25
2020,14,20821,2020-04-01
2020,15,16525,2020-04-08
2020,16,19286,2020-04-15
2020,17,19778,2020-04-22
2020,18,52273,2020-04-29
2020,19,25777,2020-05-06
2020,20,19484,2020-05-13
2020,21,16804,2020-05-20
2020,22,127318,2020-05-27
2020,23,144314,2020-06-03
2020,24,58797,2020-06-10
2020,25,42992,2020-06-17
2020,26,56099,2020-06-24
2020,27,27274,2020-07-01
2020,28,20316,2020-07-08
2020,29,29453,2020-07-15
2020,30,18998,2020-07-22
2020,31,18414,2020-07-29
2020,32,20364,2020-08-05
2020,33,21398,2020-08-12
2020,34,18693,2020-08-19
2020,35,21322,2020-08-26
2020,36,29523,2020-09-02
2020,37,15585,2020-09-09
2020,38,15074,2020-09-16
2020,39,22617,2020-09-23
2020,40,17343,2020-09-30
2020,41,22116,2020-10-07
2020,42,14924,2020-10-14
2020,43,22678,2020-10-21
2020,44,25185,2020-10-28
2020,45,20310,2020-11-04
2020,46,17322,2020-11-11
2020,47,14439,2020-11-18
2020,48,19182,2020-11-25
2020,49,44436,2020-12-02
2020,50,33426,2020-12-09
2020,51,10788,2020-12-16
2020,52,12419,2020-12-23
2020,53,6887,2020-12-30
2021,1,15897,2021-01-01
2021,2,13265,2021-01-08
2021,3,23401,2021-01-15
2021,4,18367,2021-01-22
2021,5,37662,2021-01-29
2021,6,107583,2021-02-05
2021,7,60231,2021-02-12
2021,8,62301,2021-02-19
2021,9,973919,2021-02-26
2021,10,76874,2021-03-05
2021,11,2179357,2021-03-12
2021,12,920380,2021-03-19
2021,13,813995,2021-03-26
2021,14,200811,2021-04-02
2021,15,163185,2021-04-09
2021,16,144314,2021-04-16
2021,17,87945,2021-04-23
2021,18,147395,2021-04-30
2021,19,107614,2021-05-07
2021,20,130063,2021-05-14
2021,21,151339,2021-05-21
2021,22,104018,2021-05-28
2021,23,39721,2021-06-04
2021,24,39604,2021-06-11
2021,25,27202,2021-06-18
2021,26,45214,2021-06-25
2021,27,38943,2021-07-02
2021,28,120858,2021-07-09
2021,29,46088,2021-07-16
2021,30,20717,2021-07-23
2021,31,19307,2021-07-30
2021,32,20032,2021-08-06
