data,hashtag,tweets
Anti-Chinese Politics,hongkong,2589708
Anti-Chinese Politics,standwithhongkong,1909163
Anti-Chinese Politics,standwithhk,1369811
Anti-Chinese Politics,hongkongers,1347000
Anti-Chinese Politics,china,1150608
Anti-Chinese Politics,hongkongpolice,971909
Anti-Chinese Politics,hkpolice,915142
Anti-Chinese Politics,ccp,902767
Anti-Chinese Politics,hongkongprotests,713453
Anti-Chinese Politics,antielab,644617
Counter Hate,stopasianhate,1540174
Counter Hate,stopaapihate,296790
Counter Hate,saynotoracism,195946
Counter Hate,aapi,193401
Counter Hate,notoracism,177043
Counter Hate,asiansarehuman,163533
Counter Hate,antiracism,124300
Counter Hate,stopthehate,122720
Counter Hate,blacklivesmatter,120232
Counter Hate,stopasianhatecrimes,108601
COVID-Specific Hate,coronavirus,513470
COVID-Specific Hate,chinesevirus,480270
COVID-Specific Hate,wuhanvirus,445415
COVID-Specific Hate,chinavirus,360267
COVID-Specific Hate,china,297251
COVID-Specific Hate,covid19,224833
COVID-Specific Hate,wuhan,194576
COVID-Specific Hate,ccp,90730
COVID-Specific Hate,wuhancoronavirus,72379
COVID-Specific Hate,chinaliedpeopledied,49992
General Anti-AAPI Hate,boycottchina,182554
General Anti-AAPI Hate,china,52758
General Anti-AAPI Hate,shame,25104
General Anti-AAPI Hate,etsy,19672
General Anti-AAPI Hate,etsymntt,18998
General Anti-AAPI Hate,handmade,18634
General Anti-AAPI Hate,linglingasianfood,18271
General Anti-AAPI Hate,uyghur,16323
General Anti-AAPI Hate,jewelry,14432
General Anti-AAPI Hate,np,14144
