Task,x,y,chart,performance
Extremum,Nominal,Numerical,PieChart,Very Good
Anomalies,Ordinal,Numerical,ScatterPlot,Very Good
Filter,Ordinal,Numerical,Table,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,Table,Very Good
Anomalies,Nominal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,PieChart,Very Good
Correlation,Numerical,Numerical,Scatterplot,Very Good
Correlation,Numerical,Numerical,Scatterplot,Very Good
Correlation,Ordinal,Numerical,Scatterplot,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Retrieve,Ordinal,Numerical,Table,Very Good
Anomalies,Ordinal,Numerical,BarChart,Very Good
Anomalies,Nominal,Numerical,LineChart,Very Good
Anomalies,Numerical,Numerical,LineChart,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,ScatterPlot,Very Good
Anomalies,Numerical,Numerical,ScatterPlot,Very Good
Anomalies,Nominal,Numerical,Table,Very Good
Anomalies,Ordinal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,BarChart,Very Good
Cluster,Nominal,Numerical,PieChart,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Nominal,Numerical,Table,Very Good
Cluster,Ordinal,Numerical,Table,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Ordinal,Numerical,BarChart,Very Good
Correlation,Numerical,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,LineChart,Very Good
Correlation,Ordinal,Numerical,Scatterplot,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,BarChart,Very Good
Extremum,Ordinal,Numerical,BarChart,Very Good
Extremum,Nominal,Numerical,PieChart,Very Good
Extremum,Nominal,Numerical,Table,Very Good
Order,Nominal,Numerical,BarChart,Very Good
Retrieve,Nominal,Numerical,BarChart,Very Good
Retrieve,Nominal,Numerical,PieChart,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Nominal,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
Retrieve,Numerical,Numerical,Table,Very Good
