task,x,y,visualization,accuracy,rank,time
Anomalies,Nominal,Numerical,BarChart,100,1,6
Anomalies,Nominal,Numerical,BarChart,100,1,6
Anomalies,Nominal,Numerical,BarChart,100,1,8
Anomalies,Nominal,Numerical,BarChart,100,1,8
Anomalies,Nominal,Numerical,BarChart,100,1,13
Anomalies,Nominal,Numerical,BarChart,100,1,6
Anomalies,Nominal,Numerical,BarChart,100,1,13
Anomalies,Nominal,Numerical,BarChart,100,1,14
Anomalies,Numerical,Numerical,BarChart,100,1,8
Anomalies,Numerical,Numerical,BarChart,100,1,10
Anomalies,Numerical,Numerical,BarChart,0,1,13
Anomalies,Numerical,Numerical,BarChart,100,1,7
Anomalies,Numerical,Numerical,BarChart,100,1,13
Anomalies,Numerical,Numerical,BarChart,100,1,14
Anomalies,Ordinal,Numerical,BarChart,0,1,5
Anomalies,Ordinal,Numerical,BarChart,100,1,18
Anomalies,Ordinal,Numerical,BarChart,0,1,7
Anomalies,Ordinal,Numerical,BarChart,100,1,59
Anomalies,Ordinal,Numerical,BarChart,100,1,18
Anomalies,Ordinal,Numerical,BarChart,100,1,5
Anomalies,Ordinal,Numerical,BarChart,100,1,9
Anomalies,Ordinal,Numerical,BarChart,100,1,11
Anomalies,Nominal,Numerical,LineChart,100,1,38
Anomalies,Nominal,Numerical,LineChart,100,1,16
Anomalies,Nominal,Numerical,LineChart,100,1,6
Anomalies,Nominal,Numerical,LineChart,100,1,4
Anomalies,Nominal,Numerical,LineChart,100,1,14
Anomalies,Numerical,Numerical,LineChart,0,1,10
Anomalies,Numerical,Numerical,LineChart,100,1,5
Anomalies,Numerical,Numerical,LineChart,0,1,9
Anomalies,Ordinal,Numerical,LineChart,0,1,11
Anomalies,Ordinal,Numerical,LineChart,0,1,4
Anomalies,Numerical,Numerical,PieChart,100,1,15
Anomalies,Ordinal,Numerical,PieChart,100,1,13
Anomalies,Ordinal,Numerical,PieChart,0,1,17
Anomalies,Ordinal,Numerical,PieChart,100,1,15
Anomalies,Nominal,Numerical,Scatterplot,100,1,14
Anomalies,Nominal,Numerical,Scatterplot,100,1,15
Anomalies,Nominal,Numerical,Scatterplot,100,1,4
Anomalies,Nominal,Numerical,Scatterplot,100,1,20
Anomalies,Nominal,Numerical,Scatterplot,100,1,54
Anomalies,Nominal,Numerical,Scatterplot,100,1,9
Anomalies,Nominal,Numerical,Scatterplot,100,1,3
Anomalies,Nominal,Numerical,Scatterplot,100,1,43
Anomalies,Nominal,Numerical,Scatterplot,100,1,6
Anomalies,Nominal,Numerical,Scatterplot,100,1,12
Anomalies,Nominal,Numerical,Scatterplot,100,1,12
Anomalies,Nominal,Numerical,Scatterplot,100,1,4
Anomalies,Nominal,Numerical,Scatterplot,100,1,9
Anomalies,Numerical,Numerical,Scatterplot,100,1,13
Anomalies,Numerical,Numerical,Scatterplot,100,1,59
Anomalies,Numerical,Numerical,Scatterplot,100,1,9
Anomalies,Numerical,Numerical,Scatterplot,100,1,2
Anomalies,Numerical,Numerical,Scatterplot,100,1,6
Anomalies,Numerical,Numerical,Scatterplot,100,1,14
Anomalies,Numerical,Numerical,Scatterplot,100,1,23
Anomalies,Numerical,Numerical,Scatterplot,100,1,10
Anomalies,Numerical,Numerical,Scatterplot,100,1,7
Anomalies,Numerical,Numerical,Scatterplot,100,1,7
Anomalies,Numerical,Numerical,Scatterplot,0,1,17
Anomalies,Numerical,Numerical,Scatterplot,0,1,12
Anomalies,Numerical,Numerical,Scatterplot,100,1,10
Anomalies,Numerical,Numerical,Scatterplot,100,1,4
Anomalies,Numerical,Numerical,Scatterplot,100,1,17
Anomalies,Ordinal,Numerical,Scatterplot,100,1,20
Anomalies,Ordinal,Numerical,Scatterplot,100,1,1
Anomalies,Ordinal,Numerical,Scatterplot,100,1,13
Anomalies,Ordinal,Numerical,Scatterplot,100,1,12
Anomalies,Ordinal,Numerical,Scatterplot,0,1,14
